case,origin,dest,demand,y,flow
   83, 2,  4,225.0000, 49.2595,225.0000
   84, 1,  4,300.0000, 40.1667,300.0000
   84, 2,  4,225.0000, 49.2487,225.0000
   85, 1,  4,300.0000, 40.1667,300.0000
   85, 2,  4,225.0000, 49.2379,225.0000
   86, 1,  4,300.0000, 40.1667,300.0000
   86, 2,  4,225.0000, 49.2272,225.0000
   87, 1,  4,300.0000, 40.1667,300.0000
   87, 2,  4,225.0000, 49.2165,225.0000
   88, 1,  4,300.0000, 40.1667,300.0000
   88, 2,  4,225.0000, 49.2059,225.0000
   89, 1,  4,300.0000, 40.1667,300.0000
   89, 2,  4,225.0000, 49.1953,225.0000
   90, 1,  4,300.0000, 40.1667,300.0000
   90, 2,  4,225.0000, 49.1847,225.0000
   91, 1,  4,300.0000, 40.1667,300.0000
   91, 2,  4,225.0000, 49.1742,225.0000
   92, 1,  4,300.0000, 40.1667,300.0000
   92, 2,  4,225.0000, 49.1637,225.0000
   93, 1,  4,300.0000, 40.1667,300.0000
   93, 2,  4,225.0000, 49.1533,225.0000
   94, 1,  4,300.0000, 40.1667,300.0000
   94, 2,  4,225.0000, 49.1429,225.0000
   95, 1,  4,300.0000, 40.1667,300.0000
   95, 2,  4,225.0000, 49.1325,225.0000
   96, 1,  4,300.0000, 40.1667,300.0000
   96, 2,  4,225.0000, 49.1222,225.0000
   97, 1,  4,300.0000, 40.1667,300.0000
   97, 2,  4,225.0000, 49.1120,225.0000
   98, 1,  4,300.0000, 40.1667,300.0000
   98, 2,  4,225.0000, 49.1017,225.0000
   99, 1,  4,300.0000, 40.1667,300.0000
   99, 2,  4,225.0000, 49.0916,225.0000
  100, 1,  4,300.0000, 40.1667,300.0000
  100, 2,  4,225.0000, 49.0814,225.0000
  101, 1,  4,300.0000, 40.1667,300.0000
  101, 2,  4,225.0000, 49.0713,225.0000
  102, 1,  4,300.0000, 40.1667,300.0000
  102, 2,  4,225.0000, 49.0613,225.0000
  103, 1,  4,300.0000, 40.1667,300.0000
  103, 2,  4,225.0000, 49.0512,225.0000
  104, 1,  4,300.0000, 40.1667,300.0000
  104, 2,  4,225.0000, 49.0413,225.0000
  105, 1,  4,300.0000, 40.1667,300.0000
  105, 2,  4,225.0000, 49.0313,225.0000
  106, 1,  4,300.0000, 40.1667,300.0000
  106, 2,  4,225.0000, 49.0214,225.0000
  107, 1,  4,300.0000, 40.1667,300.0000
  107, 2,  4,225.0000, 49.0116,225.0000
  108, 1,  4,300.0000, 40.1667,300.0000
  108, 2,  4,225.0000, 49.0017,225.0000
  109, 1,  4,300.0000, 40.1667,300.0000
  109, 2,  4,225.0000, 48.9920,225.0000
  110, 1,  4,300.0000, 40.1667,300.0000
  110, 2,  4,225.0000, 48.9822,225.0000
  111, 1,  4,300.0000, 40.1667,300.0000
  111, 2,  4,225.0000, 48.9725,225.0000
  112, 1,  4,300.0000, 40.1667,300.0000
  112, 2,  4,225.0000, 48.9628,225.0000
  113, 1,  4,300.0000, 40.1667,300.0000
  113, 2,  4,225.0000, 48.9532,225.0000
  114, 1,  4,300.0000, 40.1667,300.0000
  114, 2,  4,225.0000, 48.9436,225.0000
  115, 1,  4,300.0000, 40.1667,300.0000
  115, 2,  4,225.0000, 48.9340,225.0000
  116, 1,  4,300.0000, 40.1667,300.0000
  116, 2,  4,225.0000, 48.9245,225.0000
  117, 1,  4,300.0000, 40.1667,300.0000
  117, 2,  4,225.0000, 48.9150,225.0000
  118, 1,  4,300.0000, 40.1667,300.0000
  118, 2,  4,225.0000, 48.9056,225.0000
  119, 1,  4,300.0000, 40.1667,300.0000
  119, 2,  4,225.0000, 48.8962,225.0000
  120, 1,  4,300.0000, 40.1667,300.0000
  120, 2,  4,225.0000, 48.8868,225.0000
  121, 1,  4,300.0000, 40.1667,300.0000
  121, 2,  4,225.0000, 48.8775,225.0000
  122, 1,  4,300.0000, 40.1667,300.0000
  122, 2,  4,225.0000, 48.8682,225.0000
  123, 1,  4,300.0000, 40.1667,300.0000
  123, 2,  4,225.0000, 48.8589,225.0000
  124, 1,  4,300.0000, 40.1667,300.0000
  124, 2,  4,225.0000, 48.8497,225.0000
  125, 1,  4,300.0000, 40.1667,300.0000
  125, 2,  4,225.0000, 48.8405,225.0000
  126, 1,  4,300.0000, 40.1667,300.0000
  126, 2,  4,225.0000, 48.8313,225.0000
  127, 1,  4,300.0000, 40.1667,300.0000
  127, 2,  4,225.0000, 48.8222,225.0000
  128, 1,  4,300.0000, 40.1667,300.0000
  128, 2,  4,225.0000, 48.8131,225.0000
  129, 1,  4,300.0000, 40.1667,300.0000
  129, 2,  4,225.0000, 48.8040,225.0000
  130, 1,  4,300.0000, 40.1667,300.0000
  130, 2,  4,225.0000, 48.7950,225.0000
  131, 1,  4,300.0000, 40.1667,300.0000
  131, 2,  4,225.0000, 48.7860,225.0000
  132, 1,  4,300.0000, 40.1667,300.0000
  132, 2,  4,225.0000, 48.7771,225.0000
  133, 1,  4,300.0000, 40.1667,300.0000
