method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,   16, 1,  6,     68.98,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   17, 1,  1,      0.00,1000.00, 33.95,0.0000,0.0000,  1,  2
dp   ,   17, 1,  2,      0.00,  55.41, 40.25,0.0000,0.0000,  1,  3
dp   ,   17, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   17, 1,  4,     70.11,  48.53, 33.37,0.9348,0.0000,  2,  3
dp   ,   17, 1,  5,      4.89,  48.54, 48.54,0.0652,0.0000,  2,  4
dp   ,   17, 1,  6,     70.11,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   18, 1,  1,      0.00,1000.00, 33.82,0.0000,0.0000,  1,  2
dp   ,   18, 1,  2,      0.00,  55.29, 40.12,0.0000,0.0000,  1,  3
dp   ,   18, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   18, 1,  4,     71.30,  48.52, 33.36,0.9506,0.0000,  2,  3
dp   ,   18, 1,  5,      3.70,  48.53, 48.53,0.0494,0.0000,  2,  4
dp   ,   18, 1,  6,     71.30,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   19, 1,  1,      0.00,1000.00, 33.70,0.0000,0.0000,  1,  2
dp   ,   19, 1,  2,      0.00,  55.16, 40.00,0.0000,0.0000,  1,  3
dp   ,   19, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   19, 1,  4,     72.48,  48.51, 33.34,0.9664,0.0000,  2,  3
dp   ,   19, 1,  5,      2.52,  48.52, 48.52,0.0336,0.0000,  2,  4
dp   ,   19, 1,  6,     72.48,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   20, 1,  1,      0.00,1000.00, 33.57,0.0000,0.0000,  1,  2
dp   ,   20, 1,  2,      0.00,  55.04, 39.87,0.0000,0.0000,  1,  3
dp   ,   20, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   20, 1,  4,     73.65,  48.50, 33.33,0.9820,0.0000,  2,  3
dp   ,   20, 1,  5,      1.35,  48.51, 48.51,0.0180,0.0000,  2,  4
dp   ,   20, 1,  6,     73.65,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   21, 1,  1,      0.00,1000.00, 33.45,0.0000,0.0000,  1,  2
dp   ,   21, 1,  2,      0.00,  54.91, 39.75,0.0000,0.0000,  1,  3
dp   ,   21, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   21, 1,  4,     74.81,  48.49, 33.32,0.9975,0.0000,  2,  3
dp   ,   21, 1,  5,      0.19,  48.50, 48.50,0.0025,0.0000,  2,  4
dp   ,   21, 1,  6,     74.81,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   22, 1,  1,      0.00,1000.00, 33.33,0.0000,0.0000,  1,  2
dp   ,   22, 1,  2,      0.00,  54.79, 39.63,0.0000,0.0000,  1,  3
dp   ,   22, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   22, 1,  4,     75.00,  48.47, 33.31,1.0000,0.0000,  2,  3
dp   ,   22, 1,  5,      0.00,  48.49, 48.49,0.0000,0.0000,  2,  4
dp   ,   22, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   23, 1,  1,      0.00,1000.00, 33.21,0.0000,0.0000,  1,  2
dp   ,   23, 1,  2,      0.00,  54.67, 39.51,0.0000,0.0000,  1,  3
dp   ,   23, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   23, 1,  4,     75.00,  48.46, 33.30,1.0000,0.0000,  2,  3
dp   ,   23, 1,  5,      0.00,  48.49, 48.49,0.0000,0.0000,  2,  4
dp   ,   23, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   24, 1,  1,      0.00,1000.00, 33.09,0.0000,0.0000,  1,  2
dp   ,   24, 1,  2,      0.00,  54.55, 39.39,0.0000,0.0000,  1,  3
dp   ,   24, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   24, 1,  4,     75.00,  48.45, 33.29,1.0000,0.0000,  2,  3
dp   ,   24, 1,  5,      0.00,  48.49, 48.49,0.0000,0.0000,  2,  4
dp   ,   24, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   25, 1,  1,      0.00,1000.00, 32.97,0.0000,0.0000,  1,  2
dp   ,   25, 1,  2,      0.00,  54.43, 39.27,0.0000,0.0000,  1,  3
dp   ,   25, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   25, 1,  4,     75.00,  48.44, 33.28,1.0000,0.0000,  2,  3
dp   ,   25, 1,  5,      0.00,  48.49, 48.49,0.0000,0.0000,  2,  4
dp   ,   25, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   26, 1,  1,      0.00,1000.00, 32.85,0.0000,0.0000,  1,  2
dp   ,   26, 1,  2,      0.00,  54.31, 39.15,0.0000,0.0000,  1,  3
dp   ,   26, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   26, 1,  4,     75.00,  48.43, 33.27,1.0000,0.0000,  2,  3
dp   ,   26, 1,  5,      0.00,  48.49, 48.49,0.0000,0.0000,  2,  4
dp   ,   26, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   27, 1,  1,      0.00,1000.00, 32.73,0.0000,0.0000,  1,  2
dp   ,   27, 1,  2,      0.00,  54.20, 39.03,0.0000,0.0000,  1,  3
dp   ,   27, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   27, 1,  4,     75.00,  48.42, 33.25,1.0000,0.0000,  2,  3
dp   ,   27, 1,  5,      0.00,  48.49, 48.49,0.0000,0.0000,  2,  4
dp   ,   27, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   28, 1,  1,      0.00,1000.00, 32.62,0.0000,0.0000,  1,  2
dp   ,   28, 1,  2,      0.00,  54.08, 38.92,0.0000,0.0000,  1,  3
dp   ,   28, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   28, 1,  4,     75.00,  48.41, 33.24,1.0000,0.0000,  2,  3
dp   ,   28, 1,  5,      0.00,  48.48, 48.48,0.0000,0.0000,  2,  4
dp   ,   28, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   29, 1,  1,      0.00,1000.00, 32.50,0.0000,0.0000,  1,  2
dp   ,   29, 1,  2,      0.00,  53.97, 38.80,0.0000,0.0000,  1,  3
dp   ,   29, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   29, 1,  4,     75.00,  48.40, 33.23,1.0000,0.0000,  2,  3
dp   ,   29, 1,  5,      0.00,  48.48, 48.48,0.0000,0.0000,  2,  4
dp   ,   29, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   30, 1,  1,      0.00,1000.00, 32.39,0.0000,0.0000,  1,  2
dp   ,   30, 1,  2,      0.00,  53.85, 38.69,0.0000,0.0000,  1,  3
dp   ,   30, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   30, 1,  4,     75.00,  48.39, 33.22,1.0000,0.0000,  2,  3
dp   ,   30, 1,  5,      0.00,  48.48, 48.48,0.0000,0.0000,  2,  4
dp   ,   30, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   31, 1,  1,      0.00,1000.00, 32.27,0.0000,0.0000,  1,  2
dp   ,   31, 1,  2,      0.00,  53.74, 38.57,0.0000,0.0000,  1,  3
dp   ,   31, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   31, 1,  4,     75.00,  48.37, 33.21,1.0000,0.0000,  2,  3
dp   ,   31, 1,  5,      0.00,  48.48, 48.48,0.0000,0.0000,  2,  4
dp   ,   31, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   32, 1,  1,      0.00,1000.00, 32.16,0.0000,0.0000,  1,  2
dp   ,   32, 1,  2,      0.00,  53.63, 38.46,0.0000,0.0000,  1,  3
dp   ,   32, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   32, 1,  4,     75.00,  48.36, 33.20,1.0000,0.0000,  2,  3
dp   ,   32, 1,  5,      0.00,  48.48, 48.48,0.0000,0.0000,  2,  4
dp   ,   32, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   33, 1,  1,      0.00,1000.00, 32.05,0.0000,0.0000,  1,  2
dp   ,   33, 1,  2,      0.00,  53.52, 38.35,0.0000,0.0000,  1,  3
dp   ,   33, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   33, 1,  4,     75.00,  48.35, 33.19,1.0000,0.0000,  2,  3
dp   ,   33, 1,  5,      0.00,  48.48, 48.48,0.0000,0.0000,  2,  4
dp   ,   33, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   34, 1,  1,      0.00,1000.00, 31.94,0.0000,0.0000,  1,  2
dp   ,   34, 1,  2,      0.00,  53.41, 38.24,0.0000,0.0000,  1,  3
dp   ,   34, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   34, 1,  4,     75.00,  48.34, 33.18,1.0000,0.0000,  2,  3
dp   ,   34, 1,  5,      0.00,  48.48, 48.48,0.0000,0.0000,  2,  4
dp   ,   34, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   35, 1,  1,      0.00,1000.00, 31.83,0.0000,0.0000,  1,  2
dp   ,   35, 1,  2,      0.00,  53.30, 38.13,0.0000,0.0000,  1,  3
dp   ,   35, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   35, 1,  4,     75.00,  48.33, 33.17,1.0000,0.0000,  2,  3
dp   ,   35, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   35, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   36, 1,  1,      0.00,1000.00, 31.72,0.0000,0.0000,  1,  2
dp   ,   36, 1,  2,      0.00,  53.19, 38.02,0.0000,0.0000,  1,  3
dp   ,   36, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   36, 1,  4,     75.00,  48.32, 33.16,1.0000,0.0000,  2,  3
dp   ,   36, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   36, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   37, 1,  1,      0.00,1000.00, 31.62,0.0000,0.0000,  1,  2
dp   ,   37, 1,  2,      0.00,  53.08, 37.92,0.0000,0.0000,  1,  3
dp   ,   37, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   37, 1,  4,     75.00,  48.31, 33.15,1.0000,0.0000,  2,  3
dp   ,   37, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   37, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   38, 1,  1,      0.00,1000.00, 31.51,0.0000,0.0000,  1,  2
dp   ,   38, 1,  2,      0.00,  52.97, 37.81,0.0000,0.0000,  1,  3
dp   ,   38, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   38, 1,  4,     75.00,  48.30, 33.13,1.0000,0.0000,  2,  3
dp   ,   38, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   38, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   39, 1,  1,      0.00,1000.00, 31.40,0.0000,0.0000,  1,  2
dp   ,   39, 1,  2,      0.00,  52.87, 37.70,0.0000,0.0000,  1,  3
dp   ,   39, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   39, 1,  4,     75.00,  48.29, 33.12,1.0000,0.0000,  2,  3
dp   ,   39, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   39, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   40, 1,  1,      0.00,1000.00, 31.30,0.0000,0.0000,  1,  2
dp   ,   40, 1,  2,      0.00,  52.76, 37.60,0.0000,0.0000,  1,  3
dp   ,   40, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   40, 1,  4,     75.00,  48.28, 33.11,1.0000,0.0000,  2,  3
dp   ,   40, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   40, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   41, 1,  1,      0.00,1000.00, 31.20,0.0000,0.0000,  1,  2
dp   ,   41, 1,  2,      0.00,  52.66, 37.50,0.0000,0.0000,  1,  3
dp   ,   41, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   41, 1,  4,     75.00,  48.27, 33.10,1.0000,0.0000,  2,  3
dp   ,   41, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   41, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   42, 1,  1,      0.00,1000.00, 31.09,0.0000,0.0000,  1,  2
dp   ,   42, 1,  2,      0.00,  52.56, 37.39,0.0000,0.0000,  1,  3
dp   ,   42, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   42, 1,  4,     75.00,  48.26, 33.09,1.0000,0.0000,  2,  3
dp   ,   42, 1,  5,      0.00,  48.47, 48.47,0.0000,0.0000,  2,  4
dp   ,   42, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   43, 1,  1,      0.00,1000.00, 30.99,0.0000,0.0000,  1,  2
dp   ,   43, 1,  2,      0.00,  52.46, 37.29,0.0000,0.0000,  1,  3
dp   ,   43, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   43, 1,  4,     75.00,  48.25, 33.08,1.0000,0.0000,  2,  3
dp   ,   43, 1,  5,      0.00,  48.46, 48.46,0.0000,0.0000,  2,  4
dp   ,   43, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   44, 1,  1,      0.00,1000.00, 30.89,0.0000,0.0000,  1,  2
dp   ,   44, 1,  2,      0.00,  52.35, 37.19,0.0000,0.0000,  1,  3
dp   ,   44, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   44, 1,  4,     75.00,  48.24, 33.07,1.0000,0.0000,  2,  3
dp   ,   44, 1,  5,      0.00,  48.46, 48.46,0.0000,0.0000,  2,  4
dp   ,   44, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   45, 1,  1,      0.00,1000.00, 30.79,0.0000,0.0000,  1,  2
dp   ,   45, 1,  2,      0.00,  52.25, 37.09,0.0000,0.0000,  1,  3
dp   ,   45, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   45, 1,  4,     75.00,  48.23, 33.06,1.0000,0.0000,  2,  3
dp   ,   45, 1,  5,      0.00,  48.46, 48.46,0.0000,0.0000,  2,  4
dp   ,   45, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   46, 1,  1,      0.00,1000.00, 30.69,0.0000,0.0000,  1,  2
dp   ,   46, 1,  2,      0.00,  52.15, 36.99,0.0000,0.0000,  1,  3
dp   ,   46, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   46, 1,  4,     74.97,  48.22, 33.05,0.9996,0.0000,  2,  3
dp   ,   46, 1,  5,      0.03,  48.46, 48.46,0.0004,0.0000,  2,  4
dp   ,   46, 1,  6,     74.97,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   47, 1,  1,      0.00,1000.00, 30.59,0.0000,0.0000,  1,  2
dp   ,   47, 1,  2,      0.00,  52.06, 36.89,0.0000,0.0000,  1,  3
dp   ,   47, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   47, 1,  4,     75.00,  48.21, 33.04,1.0000,0.0000,  2,  3
dp   ,   47, 1,  5,      0.00,  48.46, 48.46,0.0000,0.0000,  2,  4
dp   ,   47, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   48, 1,  1,      0.00,1000.00, 30.49,0.0000,0.0000,  1,  2
dp   ,   48, 1,  2,      0.00,  51.96, 36.79,0.0000,0.0000,  1,  3
dp   ,   48, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   48, 1,  4,     75.00,  48.20, 33.03,1.0000,0.0000,  2,  3
dp   ,   48, 1,  5,      0.00,  48.46, 48.46,0.0000,0.0000,  2,  4
dp   ,   48, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   49, 1,  1,      0.00,1000.00, 30.40,0.0000,0.0000,  1,  2
dp   ,   49, 1,  2,      0.00,  51.86, 36.70,0.0000,0.0000,  1,  3
dp   ,   49, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   49, 1,  4,     75.00,  48.19, 33.02,1.0000,0.0000,  2,  3
dp   ,   49, 1,  5,      0.00,  48.46, 48.46,0.0000,0.0000,  2,  4
dp   ,   49, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   50, 1,  1,      0.00,1000.00, 30.30,0.0000,0.0000,  1,  2
dp   ,   50, 1,  2,      0.00,  51.76, 36.60,0.0000,0.0000,  1,  3
dp   ,   50, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   50, 1,  4,     75.00,  48.18, 33.01,1.0000,0.0000,  2,  3
dp   ,   50, 1,  5,      0.00,  48.46, 48.46,0.0000,0.0000,  2,  4
dp   ,   50, 1,  6,     75.00,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   51, 1,  1,      0.00,1000.00, 30.20,0.0000,0.0000,  1,  2
dp   ,   51, 1,  2,      0.00,  51.67, 36.50,0.0000,0.0000,  1,  3
