id,tc,fair
124,17397.905,-2.122399999999999
125,17392.879999999997,-2.0889000000000024
126,17387.885000000002,-2.0556000000000054
127,17382.92,-2.022500000000001
128,17377.97,-1.9894999999999996
129,17373.05,-1.956700000000005
130,17368.16,-1.9241000000000028
131,17363.285,-1.891600000000004
132,17358.440000000002,-1.8593000000000046
133,17353.625,-1.8272000000000048
134,17348.84,-1.7953000000000046
135,17344.07,-1.7635000000000005
136,17339.33,-1.731900000000003
137,17334.605,-1.700400000000002
138,17329.91,-1.6691000000000003
139,17325.23,-1.637900000000002
140,17320.595,-1.6069999999999993
141,17315.96,-1.5761000000000038
142,17311.355,-1.5454000000000008
143,17306.78,-1.5149000000000044
144,17302.235,-1.4846000000000004
145,17297.705,-1.4543999999999997
146,17293.19,-1.4243000000000023
147,17288.705,-1.3944000000000045
148,17284.235,-1.364600000000003
149,17279.795,-1.3350000000000009
150,17275.37,-1.305500000000002
151,17270.975,-1.2762000000000029
152,17266.61,-1.2471000000000032
153,17262.245,-1.2180000000000035
154,17257.91,-1.1891000000000034
155,17253.605,-1.1604000000000028
156,17249.315,-1.1317999999999984
157,17245.04,-1.1033000000000044
158,17240.795,-1.0750000000000028
159,17236.565000000002,-1.0468000000000046
160,17232.364999999998,-1.0187999999999988
161,17228.18,-0.9909000000000034
162,17224.010000000002,-0.9631000000000043
163,17219.870000000003,-0.9355000000000047
164,17215.745,-0.9080000000000013
165,17211.635000000002,-0.8806000000000012
166,17207.555,-0.8534000000000006
167,17203.489999999998,-0.8263000000000034
168,17199.44,-0.7993000000000023
169,17195.405,-0.7724000000000046
170,17191.4,-0.7456999999999994
171,17187.41,-0.7191000000000045
172,17183.449999999997,-0.6927000000000021
173,17179.489999999998,-0.6662999999999997
174,17175.559999999998,-0.6401000000000039
175,17171.645,-0.6140000000000043
176,17167.760000000002,-0.5881000000000043
177,17163.875,-0.5622000000000043
178,17160.02,-0.5365000000000038
179,17156.18,-0.5108999999999995
180,17152.355,-0.4853999999999985
181,17148.559999999998,-0.4601000000000042
182,17144.765,-0.43480000000000274
183,17141.0,-0.40970000000000084
184,17137.25,-0.38470000000000226
185,17133.515,-0.3597999999999999
186,17129.809999999998,-0.3351000000000042
187,17126.105,-0.31040000000000134
188,17122.43,-0.28590000000000515
189,17118.754999999997,-0.26140000000000185
190,17115.11,-0.2371000000000052
191,17111.48,-0.21290000000000475
192,17107.864999999998,-0.18880000000000052
193,17104.28,-0.16490000000000293
194,17100.695,-0.14100000000000534
195,17097.125,-0.11720000000000397
196,17093.585,-0.09360000000000213
197,17090.045,-0.07000000000000028
198,17086.535,-0.04660000000000508
199,17083.04,-0.023299999999998988
200,17079.545,0
201,17076.079999999998,0.0
202,17072.63,0.0
203,17069.195,0.0
204,17065.775,0.0
205,17062.37,0.0
206,17058.98,0.0
207,17055.605,0.0
208,17052.245,0.0
209,17048.9,0.0
210,17045.57,0.0
211,17042.255,0.0
212,17038.955,0.0
213,17035.67,0.0
214,17032.4,0.0
215,17029.13,0.0
