method,case,dest,node,fout,lout,label
dp   ,   88, 1,  1,  1,  3, 44.82
dp   ,   88, 1,  2,  4,  5, 57.56
dp   ,   88, 1,  3,  6,  6, 16.58
dp   ,   89, 1,  1,  1,  3, 44.82
dp   ,   89, 1,  2,  4,  5, 57.52
dp   ,   89, 1,  3,  6,  6, 16.58
dp   ,   90, 1,  1,  1,  3, 44.82
dp   ,   90, 1,  2,  4,  5, 57.47
dp   ,   90, 1,  3,  6,  6, 16.58
dp   ,   91, 1,  1,  1,  3, 44.82
dp   ,   91, 1,  2,  4,  5, 57.43
dp   ,   91, 1,  3,  6,  6, 16.58
dp   ,   92, 1,  1,  1,  3, 44.82
dp   ,   92, 1,  2,  4,  5, 57.39
dp   ,   92, 1,  3,  6,  6, 16.58
dp   ,   93, 1,  1,  1,  3, 44.82
dp   ,   93, 1,  2,  4,  5, 57.35
dp   ,   93, 1,  3,  6,  6, 16.58
dp   ,   94, 1,  1,  1,  3, 44.82
dp   ,   94, 1,  2,  4,  5, 57.31
dp   ,   94, 1,  3,  6,  6, 16.58
dp   ,   95, 1,  1,  1,  3, 44.82
dp   ,   95, 1,  2,  4,  5, 57.28
dp   ,   95, 1,  3,  6,  6, 16.58
dp   ,   96, 1,  1,  1,  3, 44.82
dp   ,   96, 1,  2,  4,  5, 57.24
dp   ,   96, 1,  3,  6,  6, 16.58
dp   ,   97, 1,  1,  1,  3, 44.82
dp   ,   97, 1,  2,  4,  5, 57.20
dp   ,   97, 1,  3,  6,  6, 16.58
dp   ,   98, 1,  1,  1,  3, 44.82
dp   ,   98, 1,  2,  4,  5, 57.16
dp   ,   98, 1,  3,  6,  6, 16.58
dp   ,   99, 1,  1,  1,  3, 44.82
dp   ,   99, 1,  2,  4,  5, 57.12
dp   ,   99, 1,  3,  6,  6, 16.58
dp   ,  100, 1,  1,  1,  3, 44.82
dp   ,  100, 1,  2,  4,  5, 57.08
dp   ,  100, 1,  3,  6,  6, 16.58
dp   ,  101, 1,  1,  1,  3, 44.82
dp   ,  101, 1,  2,  4,  5, 57.04
dp   ,  101, 1,  3,  6,  6, 16.58
dp   ,  102, 1,  1,  1,  3, 44.82
dp   ,  102, 1,  2,  4,  5, 57.01
dp   ,  102, 1,  3,  6,  6, 16.58
dp   ,  103, 1,  1,  1,  3, 44.82
dp   ,  103, 1,  2,  4,  5, 56.97
dp   ,  103, 1,  3,  6,  6, 16.58
dp   ,  104, 1,  1,  1,  3, 44.82
dp   ,  104, 1,  2,  4,  5, 56.93
dp   ,  104, 1,  3,  6,  6, 16.58
dp   ,  105, 1,  1,  1,  3, 44.82
dp   ,  105, 1,  2,  4,  5, 56.89
dp   ,  105, 1,  3,  6,  6, 16.58
dp   ,  106, 1,  1,  1,  3, 44.82
dp   ,  106, 1,  2,  4,  5, 56.86
dp   ,  106, 1,  3,  6,  6, 16.58
dp   ,  107, 1,  1,  1,  3, 44.82
dp   ,  107, 1,  2,  4,  5, 56.82
dp   ,  107, 1,  3,  6,  6, 16.58
dp   ,  108, 1,  1,  1,  3, 44.82
dp   ,  108, 1,  2,  4,  5, 56.78
dp   ,  108, 1,  3,  6,  6, 16.58
dp   ,  109, 1,  1,  1,  3, 44.82
dp   ,  109, 1,  2,  4,  5, 56.75
dp   ,  109, 1,  3,  6,  6, 16.58
dp   ,  110, 1,  1,  1,  3, 44.82
dp   ,  110, 1,  2,  4,  5, 56.71
dp   ,  110, 1,  3,  6,  6, 16.58
dp   ,  111, 1,  1,  1,  3, 44.82
dp   ,  111, 1,  2,  4,  5, 56.67
dp   ,  111, 1,  3,  6,  6, 16.58
dp   ,  112, 1,  1,  1,  3, 44.82
dp   ,  112, 1,  2,  4,  5, 56.64
dp   ,  112, 1,  3,  6,  6, 16.58
dp   ,  113, 1,  1,  1,  3, 44.82
dp   ,  113, 1,  2,  4,  5, 56.60
dp   ,  113, 1,  3,  6,  6, 16.58
dp   ,  114, 1,  1,  1,  3, 44.82
dp   ,  114, 1,  2,  4,  5, 56.57
dp   ,  114, 1,  3,  6,  6, 16.58
dp   ,  115, 1,  1,  1,  3, 44.82
dp   ,  115, 1,  2,  4,  5, 56.53
dp   ,  115, 1,  3,  6,  6, 16.58
dp   ,  116, 1,  1,  1,  3, 44.82
dp   ,  116, 1,  2,  4,  5, 56.50
dp   ,  116, 1,  3,  6,  6, 16.58
dp   ,  117, 1,  1,  1,  3, 44.82
dp   ,  117, 1,  2,  4,  5, 56.46
dp   ,  117, 1,  3,  6,  6, 16.58
dp   ,  118, 1,  1,  1,  3, 44.82
dp   ,  118, 1,  2,  4,  5, 56.43
dp   ,  118, 1,  3,  6,  6, 16.58
dp   ,  119, 1,  1,  1,  3, 44.82
dp   ,  119, 1,  2,  4,  5, 56.39
dp   ,  119, 1,  3,  6,  6, 16.58
dp   ,  120, 1,  1,  1,  3, 44.82
dp   ,  120, 1,  2,  4,  5, 56.36
dp   ,  120, 1,  3,  6,  6, 16.58
dp   ,  121, 1,  1,  1,  3, 44.82
dp   ,  121, 1,  2,  4,  5, 56.32
dp   ,  121, 1,  3,  6,  6, 16.58
dp   ,  122, 1,  1,  1,  3, 44.82
dp   ,  122, 1,  2,  4,  5, 56.29
dp   ,  122, 1,  3,  6,  6, 16.58
dp   ,  123, 1,  1,  1,  3, 44.82
dp   ,  123, 1,  2,  4,  5, 56.26
dp   ,  123, 1,  3,  6,  6, 16.58
dp   ,  124, 1,  1,  1,  3, 44.82
dp   ,  124, 1,  2,  4,  5, 56.22
dp   ,  124, 1,  3,  6,  6, 16.58
dp   ,  125, 1,  1,  1,  3, 44.82
dp   ,  125, 1,  2,  4,  5, 56.19
dp   ,  125, 1,  3,  6,  6, 16.58
dp   ,  126, 1,  1,  1,  3, 44.82
dp   ,  126, 1,  2,  4,  5, 56.16
dp   ,  126, 1,  3,  6,  6, 16.58
dp   ,  127, 1,  1,  1,  3, 44.82
dp   ,  127, 1,  2,  4,  5, 56.12
dp   ,  127, 1,  3,  6,  6, 16.58
dp   ,  128, 1,  1,  1,  3, 44.82
dp   ,  128, 1,  2,  4,  5, 56.09
dp   ,  128, 1,  3,  6,  6, 16.58
dp   ,  129, 1,  1,  1,  3, 44.82
dp   ,  129, 1,  2,  4,  5, 56.06
dp   ,  129, 1,  3,  6,  6, 16.58
dp   ,  130, 1,  1,  1,  3, 44.82
dp   ,  130, 1,  2,  4,  5, 56.02
dp   ,  130, 1,  3,  6,  6, 16.58
dp   ,  131, 1,  1,  1,  3, 44.82
dp   ,  131, 1,  2,  4,  5, 55.99
dp   ,  131, 1,  3,  6,  6, 16.58
dp   ,  132, 1,  1,  1,  3, 44.82
dp   ,  132, 1,  2,  4,  5, 55.96
dp   ,  132, 1,  3,  6,  6, 16.58
dp   ,  133, 1,  1,  1,  3, 44.82
dp   ,  133, 1,  2,  4,  5, 55.93
dp   ,  133, 1,  3,  6,  6, 16.58
dp   ,  134, 1,  1,  1,  3, 44.82
dp   ,  134, 1,  2,  4,  5, 55.90
dp   ,  134, 1,  3,  6,  6, 16.58
dp   ,  135, 1,  1,  1,  3, 44.82
dp   ,  135, 1,  2,  4,  5, 55.86
dp   ,  135, 1,  3,  6,  6, 16.58
dp   ,  136, 1,  1,  1,  3, 44.82
dp   ,  136, 1,  2,  4,  5, 55.83
dp   ,  136, 1,  3,  6,  6, 16.58
dp   ,  137, 1,  1,  1,  3, 44.82
dp   ,  137, 1,  2,  4,  5, 55.80
dp   ,  137, 1,  3,  6,  6, 16.58
dp   ,  138, 1,  1,  1,  3, 44.82
dp   ,  138, 1,  2,  4,  5, 55.77
dp   ,  138, 1,  3,  6,  6, 16.58
dp   ,  139, 1,  1,  1,  3, 44.82
dp   ,  139, 1,  2,  4,  5, 55.74
dp   ,  139, 1,  3,  6,  6, 16.58
dp   ,  140, 1,  1,  1,  3, 44.82
dp   ,  140, 1,  2,  4,  5, 55.71
dp   ,  140, 1,  3,  6,  6, 16.58
dp   ,  141, 1,  1,  1,  3, 44.82
dp   ,  141, 1,  2,  4,  5, 55.68
dp   ,  141, 1,  3,  6,  6, 16.58
dp   ,  142, 1,  1,  1,  3, 44.82
dp   ,  142, 1,  2,  4,  5, 55.65
dp   ,  142, 1,  3,  6,  6, 16.58
dp   ,  143, 1,  1,  1,  3, 44.82
dp   ,  143, 1,  2,  4,  5, 55.61
dp   ,  143, 1,  3,  6,  6, 16.58
dp   ,  144, 1,  1,  1,  3, 44.82
dp   ,  144, 1,  2,  4,  5, 55.58
dp   ,  144, 1,  3,  6,  6, 16.58
dp   ,  145, 1,  1,  1,  3, 44.82
dp   ,  145, 1,  2,  4,  5, 55.55
dp   ,  145, 1,  3,  6,  6, 16.58
dp   ,  146, 1,  1,  1,  3, 44.82
dp   ,  146, 1,  2,  4,  5, 55.52
dp   ,  146, 1,  3,  6,  6, 16.58
dp   ,  147, 1,  1,  1,  3, 44.82
dp   ,  147, 1,  2,  4,  5, 55.49
dp   ,  147, 1,  3,  6,  6, 16.58
dp   ,  148, 1,  1,  1,  3, 44.82
dp   ,  148, 1,  2,  4,  5, 55.46
dp   ,  148, 1,  3,  6,  6, 16.58
dp   ,  149, 1,  1,  1,  3, 44.82
dp   ,  149, 1,  2,  4,  5, 55.43
dp   ,  149, 1,  3,  6,  6, 16.58
dp   ,  150, 1,  1,  1,  3, 44.82
dp   ,  150, 1,  2,  4,  5, 55.41
dp   ,  150, 1,  3,  6,  6, 16.58
dp   ,  151, 1,  1,  1,  3, 44.82
dp   ,  151, 1,  2,  4,  5, 55.38
dp   ,  151, 1,  3,  6,  6, 16.58
dp   ,  152, 1,  1,  1,  3, 44.82
dp   ,  152, 1,  2,  4,  5, 55.35
dp   ,  152, 1,  3,  6,  6, 16.58
dp   ,  153, 1,  1,  1,  3, 44.82
dp   ,  153, 1,  2,  4,  5, 55.32
dp   ,  153, 1,  3,  6,  6, 16.58
dp   ,  154, 1,  1,  1,  3, 44.82
dp   ,  154, 1,  2,  4,  5, 55.29
dp   ,  154, 1,  3,  6,  6, 16.58
dp   ,  155, 1,  1,  1,  3, 44.82
dp   ,  155, 1,  2,  4,  5, 55.26
dp   ,  155, 1,  3,  6,  6, 16.58
dp   ,  156, 1,  1,  1,  3, 44.82
dp   ,  156, 1,  2,  4,  5, 55.23
dp   ,  156, 1,  3,  6,  6, 16.58
dp   ,  157, 1,  1,  1,  3, 44.82
dp   ,  157, 1,  2,  4,  5, 55.20
dp   ,  157, 1,  3,  6,  6, 16.58
dp   ,  158, 1,  1,  1,  3, 44.82
dp   ,  158, 1,  2,  4,  5, 55.17
dp   ,  158, 1,  3,  6,  6, 16.58
dp   ,  159, 1,  1,  1,  3, 44.82
dp   ,  159, 1,  2,  4,  5, 55.15
dp   ,  159, 1,  3,  6,  6, 16.58
dp   ,  160, 1,  1,  1,  3, 44.82
dp   ,  160, 1,  2,  4,  5, 55.12
dp   ,  160, 1,  3,  6,  6, 16.58
dp   ,  161, 1,  1,  1,  3, 44.82
dp   ,  161, 1,  2,  4,  5, 55.09
dp   ,  161, 1,  3,  6,  6, 16.58
dp   ,  162, 1,  1,  1,  3, 44.82
dp   ,  162, 1,  2,  4,  5, 55.06
dp   ,  162, 1,  3,  6,  6, 16.58
dp   ,  163, 1,  1,  1,  3, 44.82
dp   ,  163, 1,  2,  4,  5, 55.04
dp   ,  163, 1,  3,  6,  6, 16.58
dp   ,  164, 1,  1,  1,  3, 44.82
dp   ,  164, 1,  2,  4,  5, 55.01
dp   ,  164, 1,  3,  6,  6, 16.58
dp   ,  165, 1,  1,  1,  3, 44.82
dp   ,  165, 1,  2,  4,  5, 54.98
dp   ,  165, 1,  3,  6,  6, 16.58
dp   ,  166, 1,  1,  1,  3, 44.82
dp   ,  166, 1,  2,  4,  5, 54.95
dp   ,  166, 1,  3,  6,  6, 16.58
dp   ,  167, 1,  1,  1,  3, 44.82
dp   ,  167, 1,  2,  4,  5, 54.93
dp   ,  167, 1,  3,  6,  6, 16.58
dp   ,  168, 1,  1,  1,  3, 44.82
dp   ,  168, 1,  2,  4,  5, 54.90
dp   ,  168, 1,  3,  6,  6, 16.58
dp   ,  169, 1,  1,  1,  3, 44.82
dp   ,  169, 1,  2,  4,  5, 54.87
dp   ,  169, 1,  3,  6,  6, 16.58
dp   ,  170, 1,  1,  1,  3, 44.82
dp   ,  170, 1,  2,  4,  5, 54.85
dp   ,  170, 1,  3,  6,  6, 16.58
dp   ,  171, 1,  1,  1,  3, 44.82
dp   ,  171, 1,  2,  4,  5, 54.82
dp   ,  171, 1,  3,  6,  6, 16.58
dp   ,  172, 1,  1,  1,  3, 44.82
dp   ,  172, 1,  2,  4,  5, 54.79
dp   ,  172, 1,  3,  6,  6, 16.58
dp   ,  173, 1,  1,  1,  3, 44.82
dp   ,  173, 1,  2,  4,  5, 54.77
dp   ,  173, 1,  3,  6,  6, 16.58
dp   ,  174, 1,  1,  1,  3, 44.82
dp   ,  174, 1,  2,  4,  5, 54.74
dp   ,  174, 1,  3,  6,  6, 16.58
dp   ,  175, 1,  1,  1,  3, 44.82
dp   ,  175, 1,  2,  4,  5, 54.71
dp   ,  175, 1,  3,  6,  6, 16.58
dp   ,  176, 1,  1,  1,  3, 44.82
dp   ,  176, 1,  2,  4,  5, 54.69
dp   ,  176, 1,  3,  6,  6, 16.58
dp   ,  177, 1,  1,  1,  3, 44.82
dp   ,  177, 1,  2,  4,  5, 54.66
dp   ,  177, 1,  3,  6,  6, 16.58
