case,origin,dest,demand,y,flow
   95, 2,  4,150.0000, 26.8603,150.0000
   96, 1,  4,200.0000, 38.3350, 23.1128
   96, 2,  4,150.0000, 26.8603,150.0000
   97, 1,  4,200.0000, 38.4590,200.0000
   97, 2,  4,150.0000, 23.8735,150.0000
   98, 1,  4,200.0000, 38.4590,200.0000
   98, 2,  4,150.0000, 23.8735,150.0000
   99, 1,  4,200.0000, 38.4590,200.0000
   99, 2,  4,150.0000, 23.8735,150.0000
  100, 1,  4,200.0000, 38.4590,200.0000
  100, 2,  4,150.0000, 22.3801,150.0000
  101, 1,  4,200.0000, 38.4590,200.0000
  101, 2,  4,150.0000, 22.3801,150.0000
  102, 1,  4,200.0000, 38.4590,200.0000
  102, 2,  4,150.0000, 22.3801,150.0000
  103, 1,  4,200.0000, 38.4590,200.0000
  103, 2,  4,150.0000, 21.4841,150.0000
  104, 1,  4,200.0000, 38.4590,200.0000
  104, 2,  4,150.0000, 21.4841,150.0000
  105, 1,  4,200.0000, 38.4590,200.0000
  105, 2,  4,150.0000, 21.4841,150.0000
  106, 1,  4,200.0000, 37.7181,146.9164
  106, 2,  4,150.0000, 35.8206,150.0000
  107, 1,  4,200.0000, 34.2770,200.0000
  107, 2,  4,150.0000, 35.8206,150.0000
  108, 1,  4,200.0000, 32.6542,200.0000
  108, 2,  4,150.0000, 35.8206,150.0000
  109, 1,  4,200.0000, 37.6112,168.6148
  109, 2,  4,150.0000, 26.8603,150.0000
  110, 1,  4,200.0000, 34.7325,200.0000
  110, 2,  4,150.0000, 26.8603,150.0000
  111, 1,  4,200.0000, 33.2010,200.0000
  111, 2,  4,150.0000, 26.8603,150.0000
  112, 1,  4,200.0000, 37.2727,200.0000
  112, 2,  4,150.0000, 24.4862,350.0000
  113, 1,  4,200.0000, 35.0569,200.0000
  113, 2,  4,150.0000, 23.8735,150.0000
  114, 1,  4,200.0000, 33.6253,200.0000
  114, 2,  4,150.0000, 23.8735,150.0000
  115, 1,  4,200.0000, 35.6261,200.0000
  115, 2,  4,150.0000, 22.8397,350.0000
  116, 1,  4,200.0000, 35.3085, 61.7530
  116, 2,  4,150.0000, 22.5220,211.7530
  117, 1,  4,200.0000, 33.9640,200.0000
  117, 2,  4,150.0000, 22.3801,150.0000
  118, 1,  4,200.0000, 34.6382,200.0000
  118, 2,  4,150.0000, 21.8517,350.0000
  119, 1,  4,200.0000, 34.6382,200.0000
  119, 2,  4,150.0000, 21.8517,350.0000
  120, 1,  4,200.0000, 34.2408,200.0000
  120, 2,  4,150.0000, 21.4841,150.0000
  121, 1,  4,200.0000, 35.8921,200.0000
  121, 2,  4,150.0000, 35.8206,150.0000
  122, 1,  4,200.0000, 32.1149,200.0000
  122, 2,  4,150.0000, 35.8206,150.0000
  123, 1,  4,200.0000, 30.4920,200.0000
  123, 2,  4,150.0000, 35.8206,150.0000
  124, 1,  4,200.0000, 35.6234,200.0000
  124, 2,  4,150.0000, 26.8603,150.0000
  125, 1,  4,200.0000, 32.5704,200.0000
  125, 2,  4,150.0000, 26.8603,150.0000
  126, 1,  4,200.0000, 31.0389,200.0000
  126, 2,  4,150.0000, 26.8603,150.0000
  127, 1,  4,200.0000, 35.1105,200.0000
  127, 2,  4,150.0000, 24.4862,350.0000
  128, 1,  4,200.0000, 32.8948,200.0000
  128, 2,  4,150.0000, 23.8735,150.0000
  129, 1,  4,200.0000, 31.4631,200.0000
  129, 2,  4,150.0000, 23.8735,150.0000
  130, 1,  4,200.0000, 33.4640,200.0000
  130, 2,  4,150.0000, 22.8397,350.0000
  131, 1,  4,200.0000, 33.1464, 61.7530
  131, 2,  4,150.0000, 22.5220,211.7530
  132, 1,  4,200.0000, 31.8019,200.0000
  132, 2,  4,150.0000, 22.3801,150.0000
  133, 1,  4,200.0000, 32.4760,200.0000
  133, 2,  4,150.0000, 21.8517,350.0000
  134, 1,  4,200.0000, 32.4760,200.0000
  134, 2,  4,150.0000, 21.8517,350.0000
  135, 1,  4,200.0000, 35.9693,200.0000
  135, 2,  4,150.0000, 35.8206,150.0000
  136, 1,  4,200.0000, 35.9693,200.0000
  136, 2,  4,150.0000, 35.8206,150.0000
  137, 1,  4,200.0000, 35.9693,200.0000
  137, 2,  4,150.0000, 35.8206,150.0000
  138, 1,  4,200.0000, 35.9693,200.0000
  138, 2,  4,150.0000, 26.8603,150.0000
