method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,   16, 1,  6,    200.00,  18.97, 18.97,1.0000,0.0000,  3,  4
dp   ,   17, 1,  1,      0.00,1000.00, 12.79,0.0000,0.0000,  1,  2
dp   ,   17, 1,  2,    200.00,  34.28, 19.09,1.0000,0.0000,  1,  3
dp   ,   17, 1,  3,      0.00,  55.39, 55.39,0.0000,0.0000,  1,  4
dp   ,   17, 1,  4,      0.00,  43.34, 28.15,0.0000,0.0000,  2,  3
dp   ,   17, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   17, 1,  6,    200.00,  15.19, 15.19,1.0000,0.0000,  3,  4
dp   ,   18, 1,  1,      0.00,1000.00, 12.79,0.0000,0.0000,  1,  2
dp   ,   18, 1,  2,    200.00,  32.65, 19.09,1.0000,0.0000,  1,  3
dp   ,   18, 1,  3,      0.00,  55.39, 55.39,0.0000,0.0000,  1,  4
dp   ,   18, 1,  4,      0.00,  41.72, 28.15,0.0000,0.0000,  2,  3
dp   ,   18, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   18, 1,  6,    200.00,  13.57, 13.57,1.0000,0.0000,  3,  4
dp   ,   19, 1,  1,      0.00,  39.65, 12.79,0.0000,0.0000,  1,  2
dp   ,   19, 1,  2,    200.00,  37.79, 19.09,1.0000,0.0000,  1,  3
dp   ,   19, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   19, 1,  4,      0.00,1000.00, 23.86,0.0000,0.0000,  2,  3
dp   ,   19, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   19, 1,  6,    200.00,  18.70, 18.70,1.0000,0.0000,  3,  4
dp   ,   20, 1,  1,      0.00,  39.65, 12.79,0.0000,0.0000,  1,  2
dp   ,   20, 1,  2,    200.00,  34.73, 19.09,1.0000,0.0000,  1,  3
dp   ,   20, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   20, 1,  4,      0.00,1000.00, 23.86,0.0000,0.0000,  2,  3
dp   ,   20, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   20, 1,  6,    200.00,  15.65, 15.65,1.0000,0.0000,  3,  4
dp   ,   21, 1,  1,      0.00,  39.65, 12.79,0.0000,0.0000,  1,  2
dp   ,   21, 1,  2,    200.00,  33.20, 19.09,1.0000,0.0000,  1,  3
dp   ,   21, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   21, 1,  4,      0.00,1000.00, 23.86,0.0000,0.0000,  2,  3
dp   ,   21, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   21, 1,  6,    200.00,  14.11, 14.11,1.0000,0.0000,  3,  4
dp   ,   22, 1,  1,    200.00,  37.27, 12.79,1.0000,0.0000,  1,  2
dp   ,   22, 1,  2,      0.00,  37.62, 19.09,0.0000,0.0000,  1,  3
dp   ,   22, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   22, 1,  4,      0.00,1000.00, 21.04,0.0000,0.0000,  2,  3
dp   ,   22, 1,  5,    350.00,  24.49, 24.49,1.0000,0.0000,  2,  4
dp   ,   22, 1,  6,      0.00,  18.54, 18.54,1.0000,0.0000,  3,  4
dp   ,   23, 1,  1,      0.00,  36.66, 12.79,0.0000,0.0000,  1,  2
dp   ,   23, 1,  2,    200.00,  35.06, 19.09,1.0000,0.0000,  1,  3
dp   ,   23, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   23, 1,  4,      0.00,1000.00, 21.04,0.0000,0.0000,  2,  3
dp   ,   23, 1,  5,    150.00,  23.87, 23.87,1.0000,0.0000,  2,  4
dp   ,   23, 1,  6,    200.00,  15.97, 15.97,1.0000,0.0000,  3,  4
dp   ,   24, 1,  1,      0.00,  36.66, 12.79,0.0000,0.0000,  1,  2
dp   ,   24, 1,  2,    200.00,  33.63, 19.09,1.0000,0.0000,  1,  3
dp   ,   24, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   24, 1,  4,      0.00,1000.00, 21.04,0.0000,0.0000,  2,  3
dp   ,   24, 1,  5,    150.00,  23.87, 23.87,1.0000,0.0000,  2,  4
dp   ,   24, 1,  6,    200.00,  14.54, 14.54,1.0000,0.0000,  3,  4
dp   ,   25, 1,  1,    200.00,  35.63, 12.79,1.0000,0.0000,  1,  2
dp   ,   25, 1,  2,      0.00,  37.52, 19.09,0.0000,0.0000,  1,  3
dp   ,   25, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   25, 1,  4,      0.00,1000.00, 19.04,0.0000,0.0000,  2,  3
dp   ,   25, 1,  5,    350.00,  22.84, 22.84,1.0000,0.0000,  2,  4
dp   ,   25, 1,  6,      0.00,  18.43, 18.43,1.0000,0.0000,  3,  4
dp   ,   26, 1,  1,     61.75,  35.31, 12.79,0.3088,0.0000,  1,  2
dp   ,   26, 1,  2,    138.25,  35.30, 19.09,0.6912,0.0000,  1,  3
dp   ,   26, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   26, 1,  4,      0.00,1000.00, 19.04,0.0000,0.0000,  2,  3
dp   ,   26, 1,  5,    211.75,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   ,   26, 1,  6,    138.25,  16.21, 16.21,1.0000,0.0000,  3,  4
dp   ,   27, 1,  1,      0.00,  35.17, 12.79,0.0000,0.0000,  1,  2
dp   ,   27, 1,  2,    200.00,  33.96, 19.09,1.0000,0.0000,  1,  3
dp   ,   27, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   27, 1,  4,      0.00,1000.00, 19.04,0.0000,0.0000,  2,  3
dp   ,   27, 1,  5,    150.00,  22.38, 22.38,1.0000,0.0000,  2,  4
dp   ,   27, 1,  6,    200.00,  14.88, 14.88,1.0000,0.0000,  3,  4
dp   ,   28, 1,  1,    200.00,  34.64, 12.79,1.0000,0.0000,  1,  2
dp   ,   28, 1,  2,      0.00,  37.44, 19.09,0.0000,0.0000,  1,  3
dp   ,   28, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   28, 1,  4,      0.00,1000.00, 17.55,0.0000,0.0000,  2,  3
dp   ,   28, 1,  5,    350.00,  21.85, 21.85,1.0000,0.0000,  2,  4
dp   ,   28, 1,  6,      0.00,  18.36, 18.36,1.0000,0.0000,  3,  4
dp   ,   29, 1,  1,    200.00,  34.64, 12.79,1.0000,0.0000,  1,  2
dp   ,   29, 1,  2,      0.00,  35.49, 19.09,0.0000,0.0000,  1,  3
dp   ,   29, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   29, 1,  4,      0.00,1000.00, 17.55,0.0000,0.0000,  2,  3
dp   ,   29, 1,  5,    350.00,  21.85, 21.85,1.0000,0.0000,  2,  4
dp   ,   29, 1,  6,      0.00,  16.40, 16.40,1.0000,0.0000,  3,  4
dp   ,   30, 1,  1,      0.00,  34.27, 12.79,0.0000,0.0000,  1,  2
dp   ,   30, 1,  2,    200.00,  34.24, 19.09,1.0000,0.0000,  1,  3
dp   ,   30, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   30, 1,  4,      0.00,1000.00, 17.55,0.0000,0.0000,  2,  3
dp   ,   30, 1,  5,    150.00,  21.48, 21.48,1.0000,0.0000,  2,  4
dp   ,   30, 1,  6,    200.00,  15.15, 15.15,1.0000,0.0000,  3,  4
dp   ,   31, 1,  1,      0.00,  46.44, 10.62,0.0000,0.0000,  1,  2
dp   ,   31, 1,  2,    200.00,  35.89, 16.92,1.0000,0.0000,  1,  3
dp   ,   31, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   31, 1,  4,      0.00,1000.00, 28.24,0.0000,0.0000,  2,  3
dp   ,   31, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   31, 1,  6,    200.00,  18.97, 18.97,1.0000,0.0000,  3,  4
dp   ,   32, 1,  1,      0.00,1000.00, 10.62,0.0000,0.0000,  1,  2
dp   ,   32, 1,  2,    200.00,  32.11, 16.92,1.0000,0.0000,  1,  3
dp   ,   32, 1,  3,      0.00,  55.39, 55.39,0.0000,0.0000,  1,  4
dp   ,   32, 1,  4,      0.00,  43.44, 28.24,0.0000,0.0000,  2,  3
dp   ,   32, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   32, 1,  6,    200.00,  15.19, 15.19,1.0000,0.0000,  3,  4
dp   ,   33, 1,  1,      0.00,1000.00, 10.62,0.0000,0.0000,  1,  2
dp   ,   33, 1,  2,    200.00,  30.49, 16.92,1.0000,0.0000,  1,  3
dp   ,   33, 1,  3,      0.00,  55.39, 55.39,0.0000,0.0000,  1,  4
dp   ,   33, 1,  4,      0.00,  41.81, 28.24,0.0000,0.0000,  2,  3
dp   ,   33, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,   33, 1,  6,    200.00,  13.57, 13.57,1.0000,0.0000,  3,  4
dp   ,   34, 1,  1,      0.00,  37.48, 10.62,0.0000,0.0000,  1,  2
dp   ,   34, 1,  2,    200.00,  35.62, 16.92,1.0000,0.0000,  1,  3
dp   ,   34, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   34, 1,  4,      0.00,1000.00, 24.91,0.0000,0.0000,  2,  3
dp   ,   34, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   34, 1,  6,    200.00,  18.70, 18.70,1.0000,0.0000,  3,  4
dp   ,   35, 1,  1,      0.00,  37.48, 10.62,0.0000,0.0000,  1,  2
dp   ,   35, 1,  2,    200.00,  32.57, 16.92,1.0000,0.0000,  1,  3
dp   ,   35, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   35, 1,  4,      0.00,1000.00, 24.91,0.0000,0.0000,  2,  3
dp   ,   35, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   35, 1,  6,    200.00,  15.65, 15.65,1.0000,0.0000,  3,  4
dp   ,   36, 1,  1,      0.00,  37.48, 10.62,0.0000,0.0000,  1,  2
dp   ,   36, 1,  2,    200.00,  31.04, 16.92,1.0000,0.0000,  1,  3
dp   ,   36, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   36, 1,  4,      0.00,1000.00, 24.91,0.0000,0.0000,  2,  3
dp   ,   36, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,   36, 1,  6,    200.00,  14.11, 14.11,1.0000,0.0000,  3,  4
dp   ,   37, 1,  1,    200.00,  35.11, 10.62,1.0000,0.0000,  1,  2
dp   ,   37, 1,  2,      0.00,  35.46, 16.92,0.0000,0.0000,  1,  3
dp   ,   37, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   37, 1,  4,      0.00,1000.00, 22.49,0.0000,0.0000,  2,  3
dp   ,   37, 1,  5,    350.00,  24.49, 24.49,1.0000,0.0000,  2,  4
dp   ,   37, 1,  6,      0.00,  18.54, 18.54,1.0000,0.0000,  3,  4
dp   ,   38, 1,  1,      0.00,  34.50, 10.62,0.0000,0.0000,  1,  2
dp   ,   38, 1,  2,    200.00,  32.89, 16.92,1.0000,0.0000,  1,  3
