method,case,dest,node,fout,lout,label
dp   ,   72, 1,  3,  6,  6, 14.88
dp   ,   73, 1,  1,  1,  3, 34.64
dp   ,   73, 1,  2,  4,  5, 21.85
dp   ,   74, 1,  1,  1,  3, 34.64
dp   ,   74, 1,  2,  4,  5, 21.85
dp   ,   75, 1,  1,  1,  3, 34.24
dp   ,   75, 1,  2,  4,  5, 21.48
dp   ,   75, 1,  3,  6,  6, 15.15
dp   ,   76, 1,  1,  1,  3, 35.89
dp   ,   76, 1,  2,  4,  5, 35.82
dp   ,   76, 1,  3,  6,  6, 18.97
dp   ,   77, 1,  1,  1,  3, 32.11
dp   ,   77, 1,  2,  4,  5, 35.82
dp   ,   77, 1,  3,  6,  6, 15.19
dp   ,   78, 1,  1,  1,  3, 30.49
dp   ,   78, 1,  2,  4,  5, 35.82
dp   ,   78, 1,  3,  6,  6, 13.57
dp   ,   79, 1,  1,  1,  3, 35.62
dp   ,   79, 1,  2,  4,  5, 26.86
dp   ,   79, 1,  3,  6,  6, 18.70
dp   ,   80, 1,  1,  1,  3, 32.57
dp   ,   80, 1,  2,  4,  5, 26.86
dp   ,   80, 1,  3,  6,  6, 15.65
dp   ,   81, 1,  1,  1,  3, 31.04
dp   ,   81, 1,  2,  4,  5, 26.86
dp   ,   81, 1,  3,  6,  6, 14.11
dp   ,   82, 1,  1,  1,  3, 35.11
dp   ,   82, 1,  2,  4,  5, 24.49
dp   ,   83, 1,  1,  1,  3, 32.89
dp   ,   83, 1,  2,  4,  5, 23.87
dp   ,   83, 1,  3,  6,  6, 15.97
dp   ,   84, 1,  1,  1,  3, 31.46
dp   ,   84, 1,  2,  4,  5, 23.87
dp   ,   84, 1,  3,  6,  6, 14.54
dp   ,   85, 1,  1,  1,  3, 33.46
dp   ,   85, 1,  2,  4,  5, 22.84
dp   ,   86, 1,  1,  1,  3, 33.14
dp   ,   86, 1,  2,  4,  5, 22.52
dp   ,   86, 1,  3,  6,  6, 16.21
dp   ,   87, 1,  1,  1,  3, 31.80
dp   ,   87, 1,  2,  4,  5, 22.38
dp   ,   87, 1,  3,  6,  6, 14.88
dp   ,   88, 1,  1,  1,  3, 32.48
dp   ,   88, 1,  2,  4,  5, 21.85
dp   ,   89, 1,  1,  1,  3, 32.48
dp   ,   89, 1,  2,  4,  5, 21.85
dp   ,   90, 1,  1,  1,  3, 32.08
dp   ,   90, 1,  2,  4,  5, 21.48
dp   ,   90, 1,  3,  6,  6, 15.15
dp   ,   91, 1,  1,  1,  3, 38.46
dp   ,   91, 1,  2,  4,  5, 35.82
dp   ,   92, 1,  1,  1,  3, 38.46
dp   ,   92, 1,  2,  4,  5, 35.82
dp   ,   93, 1,  1,  1,  3, 38.11
dp   ,   93, 1,  2,  4,  5, 35.82
dp   ,   93, 1,  3,  6,  6, 13.39
dp   ,   94, 1,  1,  1,  3, 38.46
dp   ,   94, 1,  2,  4,  5, 26.86
dp   ,   95, 1,  1,  1,  3, 38.46
dp   ,   95, 1,  2,  4,  5, 26.86
dp   ,   96, 1,  1,  1,  3, 38.33
dp   ,   96, 1,  2,  4,  5, 26.86
dp   ,   96, 1,  3,  6,  6, 13.91
