case,origin,dest,demand,y,flow
   32, 1,  4,200.0000, 39.6111,200.0000
   32, 2,  4,150.0000, 49.1206,141.9639
   33, 1,  4,200.0000, 39.6111,200.0000
   33, 2,  4,150.0000, 49.1084,143.0568
   34, 1,  4,200.0000, 39.6111,200.0000
   34, 2,  4,150.0000, 49.0963,143.9805
   35, 1,  4,200.0000, 39.6111,200.0000
   35, 2,  4,150.0000, 49.0842,145.0569
   36, 1,  4,200.0000, 39.6111,200.0000
   36, 2,  4,150.0000, 49.0722,146.1240
   37, 1,  4,200.0000, 39.6111,200.0000
   37, 2,  4,150.0000, 49.0602,147.1821
   38, 1,  4,200.0000, 39.6111,200.0000
   38, 2,  4,150.0000, 49.0483,148.2312
   39, 1,  4,200.0000, 39.6111,200.0000
   39, 2,  4,150.0000, 49.0365,149.2714
   40, 1,  4,200.0000, 39.6111,200.0000
   40, 2,  4,150.0000, 49.0247,149.9254
   41, 1,  4,200.0000, 39.6111,200.0000
   41, 2,  4,150.0000, 49.0129,150.0000
   42, 1,  4,200.0000, 39.6111,200.0000
   42, 2,  4,150.0000, 49.0012,150.0000
   43, 1,  4,200.0000, 39.6111,200.0000
   43, 2,  4,150.0000, 48.9896,150.0000
   44, 1,  4,200.0000, 39.6111,200.0000
   44, 2,  4,150.0000, 48.9780,150.0000
   45, 1,  4,200.0000, 39.6111,200.0000
   45, 2,  4,150.0000, 48.9665,150.0000
   46, 1,  4,200.0000, 39.6111,200.0000
   46, 2,  4,150.0000, 48.9550,150.0000
   47, 1,  4,200.0000, 39.6111,200.0000
   47, 2,  4,150.0000, 48.9435,150.0000
   48, 1,  4,200.0000, 39.6111,200.0000
   48, 2,  4,150.0000, 48.9321,150.0000
   49, 1,  4,200.0000, 39.6111,200.0000
   49, 2,  4,150.0000, 48.9208,150.0000
   50, 1,  4,200.0000, 39.6111,200.0000
   50, 2,  4,150.0000, 48.9095,150.0000
   51, 1,  4,200.0000, 39.6111,200.0000
   51, 2,  4,150.0000, 48.8983,150.0000
   52, 1,  4,200.0000, 39.6111,200.0000
   52, 2,  4,150.0000, 48.8871,150.0000
   53, 1,  4,200.0000, 39.6111,200.0000
   53, 2,  4,150.0000, 48.8760,150.0000
   54, 1,  4,200.0000, 39.6111,200.0000
   54, 2,  4,150.0000, 48.8649,150.0000
   55, 1,  4,200.0000, 39.6111,200.0000
   55, 2,  4,150.0000, 48.8538,150.0000
   56, 1,  4,200.0000, 39.6111,200.0000
   56, 2,  4,150.0000, 48.8429,150.0000
   57, 1,  4,200.0000, 39.6111,200.0000
   57, 2,  4,150.0000, 48.8319,150.0000
   58, 1,  4,200.0000, 39.6111,200.0000
   58, 2,  4,150.0000, 48.8210,150.0000
   59, 1,  4,200.0000, 39.6111,200.0000
   59, 2,  4,150.0000, 48.8102,150.0000
   60, 1,  4,200.0000, 39.6111,200.0000
   60, 2,  4,150.0000, 48.7994,149.9803
   61, 1,  4,200.0000, 39.6111,200.0000
   61, 2,  4,150.0000, 48.7886,150.0000
   62, 1,  4,200.0000, 39.6111,200.0000
   62, 2,  4,150.0000, 48.7779,150.0000
   63, 1,  4,200.0000, 39.6111,200.0000
   63, 2,  4,150.0000, 48.7673,150.0000
   64, 1,  4,200.0000, 39.6111,200.0000
   64, 2,  4,150.0000, 48.7567,150.0000
   65, 1,  4,200.0000, 39.6111,200.0000
   65, 2,  4,150.0000, 48.7461,150.0000
   66, 1,  4,200.0000, 39.6111,200.0000
   66, 2,  4,150.0000, 48.7356,150.0000
   67, 1,  4,200.0000, 39.6111,200.0000
   67, 2,  4,150.0000, 48.7251,150.0000
   68, 1,  4,200.0000, 39.6111,200.0000
   68, 2,  4,150.0000, 48.7147,150.0000
   69, 1,  4,200.0000, 39.6111,200.0000
   69, 2,  4,150.0000, 48.7043,150.0000
   70, 1,  4,200.0000, 39.6111,200.0000
   70, 2,  4,150.0000, 48.6939,150.0000
   71, 1,  4,200.0000, 39.6111,200.0000
   71, 2,  4,150.0000, 48.6836,150.0000
   72, 1,  4,200.0000, 39.6111,200.0000
   72, 2,  4,150.0000, 48.6734,150.0000
   73, 1,  4,200.0000, 39.6111,200.0000
   73, 2,  4,150.0000, 48.6632,150.0000
   74, 1,  4,200.0000, 39.6111,200.0000
   74, 2,  4,150.0000, 48.6530,150.0000
   75, 1,  4,200.0000, 39.6111,200.0000
   75, 2,  4,150.0000, 48.6429,150.0000
   76, 1,  4,200.0000, 39.6111,200.0000
   76, 2,  4,150.0000, 48.6328,150.0000
   77, 1,  4,200.0000, 39.6111,200.0000
   77, 2,  4,150.0000, 48.6227,150.0000
   78, 1,  4,200.0000, 39.6111,200.0000
   78, 2,  4,150.0000, 48.6127,150.0000
   79, 1,  4,200.0000, 39.6111,200.0000
   79, 2,  4,150.0000, 48.6028,150.0000
   80, 1,  4,200.0000, 39.6111,200.0000
   80, 2,  4,150.0000, 48.5929,150.0000
   81, 1,  4,200.0000, 39.6111,200.0000
   81, 2,  4,150.0000, 48.5830,150.0000
   82, 1,  4,200.0000, 39.6111,200.0000
   82, 2,  4,150.0000, 48.5731,150.0000
   83, 1,  4,200.0000, 39.6111,200.0000
   83, 2,  4,150.0000, 48.5634,150.0000
   84, 1,  4,200.0000, 39.6111,200.0000
   84, 2,  4,150.0000, 48.5536,149.9416
   85, 1,  4,200.0000, 39.6111,200.0000
   85, 2,  4,150.0000, 48.5439,150.0000
   86, 1,  4,200.0000, 39.6111,200.0000
   86, 2,  4,150.0000, 48.5342,150.0000
   87, 1,  4,200.0000, 39.6111,200.0000
   87, 2,  4,150.0000, 48.5246,150.0000
   88, 1,  4,200.0000, 39.6111,200.0000
