method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   , 15, 1,  4,  0.00,1000.00, 11.95,0.0000,0.0000,  2,  3
dp   , 15, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   , 15, 1,  6,100.00,  12.44, 12.44,1.0000,0.0000,  3,  4
dp   , 16, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   , 16, 1,  2,150.00,  38.30, 22.84,1.0000,0.0000,  1,  3
dp   , 16, 1,  3,  0.00,  43.48, 43.48,0.0000,0.0000,  1,  4
dp   , 16, 1,  4,250.00,  28.92, 13.47,1.0000,0.0000,  2,  3
dp   , 16, 1,  5,  0.00,  31.46, 31.46,0.0000,0.0000,  2,  4
dp   , 16, 1,  6,500.00,  15.45, 15.45,1.0000,0.0000,  3,  4
dp   , 17, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   , 17, 1,  2,150.00,  36.79, 22.84,1.0000,0.0000,  1,  3
dp   , 17, 1,  3,  0.00,  43.48, 43.48,0.0000,0.0000,  1,  4
dp   , 17, 1,  4, 32.70,  25.91, 11.97,0.1308,0.0000,  2,  3
dp   , 17, 1,  5,217.30,  25.91, 25.91,0.8692,0.0000,  2,  4
dp   , 17, 1,  6,282.70,  13.94, 13.94,1.0000,0.0000,  3,  4
dp   , 18, 1,  1,  0.00,  38.77, 16.24,0.0000,0.0000,  1,  2
dp   , 18, 1,  2,150.00,  35.95, 22.84,1.0000,0.0000,  1,  3
dp   , 18, 1,  3,  0.00,  43.48, 43.48,0.0000,0.0000,  1,  4
dp   , 18, 1,  4,  0.00,  24.19, 11.08,0.0000,0.0000,  2,  3
dp   , 18, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   , 18, 1,  6,250.00,  13.11, 13.11,1.0000,0.0000,  3,  4
dp   , 19, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   , 19, 1,  2,  0.00,  51.74, 37.99,0.0000,0.0000,  1,  3
dp   , 19, 1,  3,150.00,  40.74, 40.74,1.0000,0.0000,  1,  4
dp   , 19, 1,  4,250.00,  29.53, 15.78,1.0000,0.0000,  2,  3
dp   , 19, 1,  5,  0.00,  32.21, 32.21,0.0000,0.0000,  2,  4
dp   , 19, 1,  6,350.00,  13.74, 13.74,1.0000,0.0000,  3,  4
dp   , 20, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   , 20, 1,  2,  0.00,  50.92, 37.99,0.0000,0.0000,  1,  3
dp   , 20, 1,  3,150.00,  40.74, 40.74,1.0000,0.0000,  1,  4
dp   , 20, 1,  4,  0.40,  26.21, 13.28,0.0016,0.0000,  2,  3
dp   , 20, 1,  5,249.60,  26.21, 26.21,0.9984,0.0000,  2,  4
dp   , 20, 1,  6,100.40,  12.93, 12.93,1.0000,0.0000,  3,  4
dp   , 21, 1,  1,  0.00,  53.91, 31.39,0.0000,0.0000,  1,  2
dp   , 21, 1,  2,  0.00,  50.44, 37.99,0.0000,0.0000,  1,  3
dp   , 21, 1,  3,150.00,  40.74, 40.74,1.0000,0.0000,  1,  4
dp   , 21, 1,  4,  0.00,1000.00, 11.95,0.0000,0.0000,  2,  3
dp   , 21, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   , 21, 1,  6,100.00,  12.44, 12.44,1.0000,0.0000,  3,  4
dp   , 22, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   , 22, 1,  2,150.00,  38.30, 22.84,1.0000,0.0000,  1,  3
dp   , 22, 1,  3,  0.00,  40.18, 40.18,0.0000,0.0000,  1,  4
dp   , 22, 1,  4,250.00,  28.92, 13.47,1.0000,0.0000,  2,  3
dp   , 22, 1,  5,  0.00,  31.46, 31.46,0.0000,0.0000,  2,  4
dp   , 22, 1,  6,500.00,  15.45, 15.45,1.0000,0.0000,  3,  4
dp   , 23, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   , 23, 1,  2,150.00,  36.79, 22.84,1.0000,0.0000,  1,  3
dp   , 23, 1,  3,  0.00,  40.18, 40.18,0.0000,0.0000,  1,  4
dp   , 23, 1,  4, 32.70,  25.91, 11.97,0.1308,0.0000,  2,  3
dp   , 23, 1,  5,217.30,  25.91, 25.91,0.8692,0.0000,  2,  4
dp   , 23, 1,  6,282.70,  13.94, 13.94,1.0000,0.0000,  3,  4
dp   , 24, 1,  1,  0.00,  38.77, 16.24,0.0000,0.0000,  1,  2
dp   , 24, 1,  2,150.00,  35.95, 22.84,1.0000,0.0000,  1,  3
dp   , 24, 1,  3,  0.00,  40.18, 40.18,0.0000,0.0000,  1,  4
dp   , 24, 1,  4,  0.00,  24.19, 11.08,0.0000,0.0000,  2,  3
dp   , 24, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   , 24, 1,  6,250.00,  13.11, 13.11,1.0000,0.0000,  3,  4
dp   , 25, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   , 25, 1,  2,  0.00,  51.74, 37.99,0.0000,0.0000,  1,  3
dp   , 25, 1,  3,150.00,  38.57, 38.57,1.0000,0.0000,  1,  4
dp   , 25, 1,  4,250.00,  29.53, 15.78,1.0000,0.0000,  2,  3
dp   , 25, 1,  5,  0.00,  32.21, 32.21,0.0000,0.0000,  2,  4
dp   , 25, 1,  6,350.00,  13.74, 13.74,1.0000,0.0000,  3,  4
dp   , 26, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   , 26, 1,  2,  0.00,  50.92, 37.99,0.0000,0.0000,  1,  3
dp   , 26, 1,  3,150.00,  38.57, 38.57,1.0000,0.0000,  1,  4
dp   , 26, 1,  4,  0.40,  26.21, 13.28,0.0016,0.0000,  2,  3
dp   , 26, 1,  5,249.60,  26.21, 26.21,0.9984,0.0000,  2,  4
dp   , 26, 1,  6,100.40,  12.93, 12.93,1.0000,0.0000,  3,  4
dp   , 27, 1,  1,  0.00,  53.91, 31.39,0.0000,0.0000,  1,  2
dp   , 27, 1,  2,  0.00,  50.44, 37.99,0.0000,0.0000,  1,  3
dp   , 27, 1,  3,150.00,  38.57, 38.57,1.0000,0.0000,  1,  4
dp   , 27, 1,  4,  0.00,1000.00, 11.95,0.0000,0.0000,  2,  3
dp   , 27, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   , 27, 1,  6,100.00,  12.44, 12.44,1.0000,0.0000,  3,  4
dp   , 28, 1,  1,  0.00,1000.00, 16.21,0.0000,0.0000,  1,  2
dp   , 28, 1,  2,146.19,  38.20, 22.81,0.9746,0.0000,  1,  3
dp   , 28, 1,  3,  3.81,  38.20, 38.20,0.0254,0.0000,  1,  4
dp   , 28, 1,  4,250.00,  28.81, 13.42,1.0000,0.0000,  2,  3
dp   , 28, 1,  5,  0.00,  31.46, 31.46,0.0000,0.0000,  2,  4
dp   , 28, 1,  6,496.19,  15.39, 15.39,1.0000,0.0000,  3,  4
dp   , 29, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   , 29, 1,  2,150.00,  36.79, 22.84,1.0000,0.0000,  1,  3
dp   , 29, 1,  3,  0.00,  38.20, 38.20,0.0000,0.0000,  1,  4
dp   , 29, 1,  4, 32.70,  25.91, 11.97,0.1308,0.0000,  2,  3
dp   , 29, 1,  5,217.30,  25.91, 25.91,0.8692,0.0000,  2,  4
dp   , 29, 1,  6,282.70,  13.94, 13.94,1.0000,0.0000,  3,  4
dp   , 30, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   , 30, 1,  2,  0.00,  51.74, 37.99,0.0000,0.0000,  1,  3
dp   , 30, 1,  3,150.00,  37.17, 37.17,1.0000,0.0000,  1,  4
dp   , 30, 1,  4,250.00,  29.53, 15.78,1.0000,0.0000,  2,  3
dp   , 30, 1,  5,  0.00,  32.21, 32.21,0.0000,0.0000,  2,  4
dp   , 30, 1,  6,350.00,  13.74, 13.74,1.0000,0.0000,  3,  4
dp   , 31, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   , 31, 1,  2,  0.00,  50.92, 37.99,0.0000,0.0000,  1,  3
dp   , 31, 1,  3,150.00,  37.17, 37.17,1.0000,0.0000,  1,  4
dp   , 31, 1,  4,  0.40,  26.21, 13.28,0.0016,0.0000,  2,  3
dp   , 31, 1,  5,249.60,  26.21, 26.21,0.9984,0.0000,  2,  4
dp   , 31, 1,  6,100.40,  12.93, 12.93,1.0000,0.0000,  3,  4
dp   , 32, 1,  1,  0.00,1000.00, 15.83,0.0000,0.0000,  1,  2
dp   , 32, 1,  2, 82.33,  36.95, 22.43,0.5489,0.0000,  1,  3
dp   , 32, 1,  3, 67.67,  36.95, 36.95,0.4511,0.0000,  1,  4
dp   , 32, 1,  4,250.00,  27.31, 12.78,1.0000,0.0000,  2,  3
dp   , 32, 1,  5,  0.00,  31.46, 31.46,0.0000,0.0000,  2,  4
dp   , 32, 1,  6,432.33,  14.53, 14.53,1.0000,0.0000,  3,  4
