 SeedNum,Iter,LineId,Fleet,TTC,Fare
   2,     1,   1,   1,   2,     275941.15,     -0.05
   2,     1,   1,   2,   3,     275941.15,     -0.05
   2,     1,   1,   3,   4,     275941.15,     -0.05
   2,     1,   1,   4,   2,     275941.15,     -0.05
   2,     1,   1,   5,   3,     275941.15,     -0.05
   2,     1,   1,   6,   1,     275941.15,     -0.05
   2,     1,   1,   7,   2,     275941.15,     -0.05
   2,     1,   1,   8,   5,     275941.15,     -0.05
   2,     1,   1,   9,   2,     275941.15,     -0.05
   2,     1,   1,  10,   4,     275941.15,     -0.05
   2,     1,   1,  11,   2,     275941.15,     -0.05
   2,     1,   1,  12,   3,     275941.15,     -0.05
   2,     1,   1,  13,   6,     275941.15,     -0.05
   2,     1,   1,  14,   3,     275941.15,     -0.05
   2,     1,   1,  15,   2,     275941.15,     -0.05
   2,     1,   1,  16,   2,     275941.15,     -0.05
   2,     1,   1,  17,   3,     275941.15,     -0.05
   2,     1,   1,  18,   3,     275941.15,     -0.05
   2,     1,   1,  19,   2,     275941.15,     -0.05
   2,     1,   1,  20,   1,     275941.15,     -0.05
   2,     1,   2,   1,   1,     331469.44,      0.00
   2,     1,   2,   2,   3,     331469.44,      0.00
   2,     1,   2,   3,   3,     331469.44,      0.00
   2,     1,   2,   4,   4,     331469.44,      0.00
   2,     1,   2,   5,   1,     331469.44,      0.00
   2,     1,   2,   6,   4,     331469.44,      0.00
   2,     1,   2,   7,   2,     331469.44,      0.00
   2,     1,   2,   8,   2,     331469.44,      0.00
   2,     1,   2,   9,   2,     331469.44,      0.00
   2,     1,   2,  10,   4,     331469.44,      0.00
   2,     1,   2,  11,   7,     331469.44,      0.00
   2,     1,   2,  12,   1,     331469.44,      0.00
   2,     1,   2,  13,   4,     331469.44,      0.00
   2,     1,   2,  14,   1,     331469.44,      0.00
   2,     1,   2,  15,   3,     331469.44,      0.00
   2,     1,   2,  16,   1,     331469.44,      0.00
   2,     1,   2,  17,   3,     331469.44,      0.00
   2,     1,   2,  18,   4,     331469.44,      0.00
   2,     1,   2,  19,   3,     331469.44,      0.00
   2,     1,   2,  20,   3,     331469.44,      0.00
   2,     2,   1,   1,   2,     275941.15,     -0.05
   2,     2,   1,   2,   3,     275941.15,     -0.05
   2,     2,   1,   3,   4,     275941.15,     -0.05
   2,     2,   1,   4,   2,     275941.15,     -0.05
   2,     2,   1,   5,   3,     275941.15,     -0.05
   2,     2,   1,   6,   1,     275941.15,     -0.05
   2,     2,   1,   7,   2,     275941.15,     -0.05
   2,     2,   1,   8,   5,     275941.15,     -0.05
   2,     2,   1,   9,   2,     275941.15,     -0.05
   2,     2,   1,  10,   4,     275941.15,     -0.05
   2,     2,   1,  11,   2,     275941.15,     -0.05
   2,     2,   1,  12,   3,     275941.15,     -0.05
   2,     2,   1,  13,   6,     275941.15,     -0.05
   2,     2,   1,  14,   3,     275941.15,     -0.05
   2,     2,   1,  15,   2,     275941.15,     -0.05
   2,     2,   1,  16,   2,     275941.15,     -0.05
   2,     2,   1,  17,   3,     275941.15,     -0.05
   2,     2,   1,  18,   3,     275941.15,     -0.05
   2,     2,   1,  19,   2,     275941.15,     -0.05
   2,     2,   1,  20,   1,     275941.15,     -0.05
   2,     2,   2,   1,   1,     331469.44,      0.00
   2,     2,   2,   2,   3,     331469.44,      0.00
   2,     2,   2,   3,   3,     331469.44,      0.00
   2,     2,   2,   4,   4,     331469.44,      0.00
   2,     2,   2,   5,   1,     331469.44,      0.00
   2,     2,   2,   6,   4,     331469.44,      0.00
   2,     2,   2,   7,   2,     331469.44,      0.00
   2,     2,   2,   8,   2,     331469.44,      0.00
   2,     2,   2,   9,   2,     331469.44,      0.00
   2,     2,   2,  10,   4,     331469.44,      0.00
   2,     2,   2,  11,   7,     331469.44,      0.00
   2,     2,   2,  12,   1,     331469.44,      0.00
   2,     2,   2,  13,   4,     331469.44,      0.00
   2,     2,   2,  14,   1,     331469.44,      0.00
   2,     2,   2,  15,   3,     331469.44,      0.00
   2,     2,   2,  16,   1,     331469.44,      0.00
   2,     2,   2,  17,   3,     331469.44,      0.00
   2,     2,   2,  18,   4,     331469.44,      0.00
   2,     2,   2,  19,   3,     331469.44,      0.00
   2,     2,   2,  20,   3,     331469.44,      0.00
   2,     3,   1,   1,   2,     275941.15,     -0.05
   2,     3,   1,   2,   3,     275941.15,     -0.05
   2,     3,   1,   3,   4,     275941.15,     -0.05
   2,     3,   1,   4,   2,     275941.15,     -0.05
   2,     3,   1,   5,   3,     275941.15,     -0.05
   2,     3,   1,   6,   1,     275941.15,     -0.05
   2,     3,   1,   7,   2,     275941.15,     -0.05
   2,     3,   1,   8,   5,     275941.15,     -0.05
   2,     3,   1,   9,   2,     275941.15,     -0.05
   2,     3,   1,  10,   4,     275941.15,     -0.05
   2,     3,   1,  11,   2,     275941.15,     -0.05
   2,     3,   1,  12,   3,     275941.15,     -0.05
   2,     3,   1,  13,   6,     275941.15,     -0.05
   2,     3,   1,  14,   3,     275941.15,     -0.05
   2,     3,   1,  15,   2,     275941.15,     -0.05
   2,     3,   1,  16,   2,     275941.15,     -0.05
   2,     3,   1,  17,   3,     275941.15,     -0.05
   2,     3,   1,  18,   3,     275941.15,     -0.05
   2,     3,   1,  19,   2,     275941.15,     -0.05
   2,     3,   1,  20,   1,     275941.15,     -0.05
   2,     3,   2,   1,   1,     331469.44,      0.00
   2,     3,   2,   2,   3,     331469.44,      0.00
   2,     3,   2,   3,   3,     331469.44,      0.00
   2,     3,   2,   4,   4,     331469.44,      0.00
   2,     3,   2,   5,   1,     331469.44,      0.00
   2,     3,   2,   6,   4,     331469.44,      0.00
   2,     3,   2,   7,   2,     331469.44,      0.00
   2,     3,   2,   8,   2,     331469.44,      0.00
   2,     3,   2,   9,   2,     331469.44,      0.00
   2,     3,   2,  10,   4,     331469.44,      0.00
   2,     3,   2,  11,   7,     331469.44,      0.00
   2,     3,   2,  12,   1,     331469.44,      0.00
   2,     3,   2,  13,   4,     331469.44,      0.00
   2,     3,   2,  14,   1,     331469.44,      0.00
   2,     3,   2,  15,   3,     331469.44,      0.00
   2,     3,   2,  16,   1,     331469.44,      0.00
   2,     3,   2,  17,   3,     331469.44,      0.00
   2,     3,   2,  18,   4,     331469.44,      0.00
   2,     3,   2,  19,   3,     331469.44,      0.00
   2,     3,   2,  20,   3,     331469.44,      0.00
   2,     4,   1,   1,   2,     275941.15,     -0.05
   2,     4,   1,   2,   3,     275941.15,     -0.05
   2,     4,   1,   3,   4,     275941.15,     -0.05
   2,     4,   1,   4,   2,     275941.15,     -0.05
   2,     4,   1,   5,   3,     275941.15,     -0.05
   2,     4,   1,   6,   1,     275941.15,     -0.05
   2,     4,   1,   7,   2,     275941.15,     -0.05
   2,     4,   1,   8,   5,     275941.15,     -0.05
   2,     4,   1,   9,   2,     275941.15,     -0.05
   2,     4,   1,  10,   4,     275941.15,     -0.05
   2,     4,   1,  11,   2,     275941.15,     -0.05
   2,     4,   1,  12,   3,     275941.15,     -0.05
   2,     4,   1,  13,   6,     275941.15,     -0.05
   2,     4,   1,  14,   3,     275941.15,     -0.05
   2,     4,   1,  15,   2,     275941.15,     -0.05
   2,     4,   1,  16,   2,     275941.15,     -0.05
   2,     4,   1,  17,   3,     275941.15,     -0.05
   2,     4,   1,  18,   3,     275941.15,     -0.05
   2,     4,   1,  19,   2,     275941.15,     -0.05
   2,     4,   1,  20,   1,     275941.15,     -0.05
   2,     4,   2,   1,   1,     331469.44,      0.00
   2,     4,   2,   2,   3,     331469.44,      0.00
   2,     4,   2,   3,   3,     331469.44,      0.00
   2,     4,   2,   4,   4,     331469.44,      0.00
   2,     4,   2,   5,   1,     331469.44,      0.00
   2,     4,   2,   6,   4,     331469.44,      0.00
   2,     4,   2,   7,   2,     331469.44,      0.00
   2,     4,   2,   8,   2,     331469.44,      0.00
   2,     4,   2,   9,   2,     331469.44,      0.00
   2,     4,   2,  10,   4,     331469.44,      0.00
   2,     4,   2,  11,   7,     331469.44,      0.00
   2,     4,   2,  12,   1,     331469.44,      0.00
   2,     4,   2,  13,   4,     331469.44,      0.00
   2,     4,   2,  14,   1,     331469.44,      0.00
   2,     4,   2,  15,   3,     331469.44,      0.00
   2,     4,   2,  16,   1,     331469.44,      0.00
   2,     4,   2,  17,   3,     331469.44,      0.00
   2,     4,   2,  18,   4,     331469.44,      0.00
   2,     4,   2,  19,   3,     331469.44,      0.00
   2,     4,   2,  20,   3,     331469.44,      0.00
   2,     5,   1,   1,   2,     275941.15,     -0.05
   2,     5,   1,   2,   3,     275941.15,     -0.05
   2,     5,   1,   3,   4,     275941.15,     -0.05
   2,     5,   1,   4,   2,     275941.15,     -0.05
   2,     5,   1,   5,   3,     275941.15,     -0.05
   2,     5,   1,   6,   1,     275941.15,     -0.05
   2,     5,   1,   7,   2,     275941.15,     -0.05
   2,     5,   1,   8,   5,     275941.15,     -0.05
   2,     5,   1,   9,   2,     275941.15,     -0.05
   2,     5,   1,  10,   4,     275941.15,     -0.05
   2,     5,   1,  11,   2,     275941.15,     -0.05
   2,     5,   1,  12,   3,     275941.15,     -0.05
   2,     5,   1,  13,   6,     275941.15,     -0.05
   2,     5,   1,  14,   3,     275941.15,     -0.05
   2,     5,   1,  15,   2,     275941.15,     -0.05
   2,     5,   1,  16,   2,     275941.15,     -0.05
   2,     5,   1,  17,   3,     275941.15,     -0.05
   2,     5,   1,  18,   3,     275941.15,     -0.05
   2,     5,   1,  19,   2,     275941.15,     -0.05
   2,     5,   1,  20,   1,     275941.15,     -0.05
   2,     5,   2,   1,   3,     288186.08,      0.89
   2,     5,   2,   2,   4,     288186.08,      0.89
