method,case,dest,node,fout,lout,label
dp   ,   92, 1,  3,  6,  6, 13.20
dp   ,   93, 1,  1,  1,  3, 38.45
dp   ,   93, 1,  2,  4,  5, 26.65
dp   ,   94, 1,  1,  1,  3, 38.45
dp   ,   94, 1,  2,  4,  5, 26.65
dp   ,   95, 1,  1,  1,  3, 38.10
dp   ,   95, 1,  2,  4,  5, 26.65
dp   ,   95, 1,  3,  6,  6, 13.76
dp   ,   96, 1,  1,  1,  3, 38.45
dp   ,   96, 1,  2,  4,  5, 23.63
dp   ,   97, 1,  1,  1,  3, 38.45
dp   ,   97, 1,  2,  4,  5, 23.63
dp   ,   98, 1,  1,  1,  3, 38.45
dp   ,   98, 1,  2,  4,  5, 23.63
dp   ,   99, 1,  1,  1,  3, 38.45
dp   ,   99, 1,  2,  4,  5, 22.15
dp   ,  100, 1,  1,  1,  3, 38.45
dp   ,  100, 1,  2,  4,  5, 22.15
dp   ,  101, 1,  1,  1,  3, 38.45
dp   ,  101, 1,  2,  4,  5, 22.15
dp   ,  102, 1,  1,  1,  3, 38.45
dp   ,  102, 1,  2,  4,  5, 21.28
dp   ,  103, 1,  1,  1,  3, 38.45
dp   ,  103, 1,  2,  4,  5, 21.28
dp   ,  104, 1,  1,  1,  3, 38.45
dp   ,  104, 1,  2,  4,  5, 21.28
dp   ,  105, 1,  1,  1,  3, 37.50
dp   ,  105, 1,  2,  4,  5, 36.34
dp   ,  105, 1,  3,  6,  6, 18.79
dp   ,  106, 1,  1,  1,  3, 33.82
dp   ,  106, 1,  2,  4,  5, 36.34
dp   ,  106, 1,  3,  6,  6, 14.96
dp   ,  107, 1,  1,  1,  3, 32.18
dp   ,  107, 1,  2,  4,  5, 36.34
dp   ,  107, 1,  3,  6,  6, 13.32
dp   ,  108, 1,  1,  1,  3, 37.40
dp   ,  108, 1,  2,  4,  5, 26.65
dp   ,  108, 1,  3,  6,  6, 18.54
dp   ,  109, 1,  1,  1,  3, 34.26
dp   ,  109, 1,  2,  4,  5, 26.65
dp   ,  109, 1,  3,  6,  6, 15.40
dp   ,  110, 1,  1,  1,  3, 32.73
dp   ,  110, 1,  2,  4,  5, 26.65
dp   ,  110, 1,  3,  6,  6, 13.87
dp   ,  111, 1,  1,  1,  3, 37.12
dp   ,  111, 1,  2,  4,  5, 24.56
dp   ,  112, 1,  1,  1,  3, 34.58
dp   ,  112, 1,  2,  4,  5, 23.63
dp   ,  112, 1,  3,  6,  6, 15.72
dp   ,  113, 1,  1,  1,  3, 33.17
dp   ,  113, 1,  2,  4,  5, 23.63
dp   ,  113, 1,  3,  6,  6, 14.31
dp   ,  114, 1,  1,  1,  3, 35.24
dp   ,  114, 1,  2,  4,  5, 22.68
dp   ,  115, 1,  1,  1,  3, 34.83
dp   ,  115, 1,  2,  4,  5, 22.28
dp   ,  115, 1,  3,  6,  6, 15.97
dp   ,  116, 1,  1,  1,  3, 33.52
dp   ,  116, 1,  2,  4,  5, 22.15
dp   ,  116, 1,  3,  6,  6, 14.66
dp   ,  117, 1,  1,  1,  3, 34.18
dp   ,  117, 1,  2,  4,  5, 21.62
