id,tc,fair
103,15167.935,-0.8656999999999968
104,15166.3,-0.8547999999999973
105,15164.665,-0.8438999999999979
106,15163.045,-0.8331000000000017
107,15161.425,-0.8222999999999985
108,15159.82,-0.8115999999999985
109,15158.215,-0.8008999999999986
110,15156.61,-0.7901999999999987
111,15155.02,-0.7796000000000021
112,15153.445,-0.7691000000000017
113,15151.869999999999,-0.7586000000000013
114,15150.31,-0.7481999999999971
115,15148.75,-0.7378
116,15147.19,-0.7274000000000029
117,15145.645,-0.7171000000000021
118,15144.115,-0.7068999999999974
119,15142.585,-0.6966999999999999
120,15141.055,-0.6865000000000023
121,15139.54,-0.676400000000001
122,15138.025,-0.6662999999999997
123,15136.525000000001,-0.6563000000000017
124,15135.025,-0.6462999999999965
125,15133.54,-0.6364000000000019
126,15132.055,-0.6265000000000001
127,15130.57,-0.6165999999999983
128,15129.1,-0.6067999999999998
129,15127.645,-0.5970999999999975
130,15126.19,-0.5874000000000024
131,15124.735,-0.5777000000000001
132,15123.279999999999,-0.5679999999999978
133,15121.855,-0.5585000000000022
134,15120.415,-0.5489000000000033
135,15118.99,-0.5394000000000005
136,15117.564999999999,-0.5298999999999978
137,15116.154999999999,-0.5204999999999984
138,15114.744999999999,-0.511099999999999
139,15113.35,-0.5018000000000029
140,15111.955,-0.4924999999999997
141,15110.56,-0.4831999999999965
142,15109.18,-0.47399999999999665
143,15107.8,-0.46479999999999677
144,15106.435000000001,-0.4557000000000002
145,15105.07,-0.44659999999999656
146,15103.705,-0.4375
147,15102.355,-0.42849999999999966
148,15101.005000000001,-0.4194999999999993
149,15099.67,-0.4106000000000023
150,15098.335,-0.40169999999999817
151,15097.0,-0.39280000000000115
152,15095.68,-0.38400000000000034
153,15094.36,-0.37519999999999953
154,15093.04,-0.3663999999999987
155,15091.735,-0.35770000000000124
156,15090.43,-0.34899999999999665
157,15089.14,-0.3404000000000025
158,15087.835,-0.3316999999999979
159,15086.560000000001,-0.32319999999999993
160,15085.27,-0.31459999999999866
161,15083.994999999999,-0.3061000000000007
162,15082.735,-0.29769999999999897
163,15081.46,-0.289200000000001
164,15080.2,-0.2807999999999993
165,15078.955,-0.27250000000000085
166,15077.695,-0.2640999999999991
167,15076.45,-0.2558000000000007
168,15075.220000000001,-0.2475999999999985
169,15073.975,-0.23930000000000007
170,15072.744999999999,-0.23109999999999786
171,15071.529999999999,-0.22299999999999898
172,15070.3,-0.21479999999999677
173,15069.1,-0.2068000000000012
174,15067.885,-0.19870000000000232
175,15066.685000000001,-0.19069999999999965
176,15065.485,-0.18269999999999698
177,15064.285,-0.1747000000000014
178,15063.1,-0.16680000000000206
179,15061.915,-0.1589000000000027
180,15060.73,-0.15100000000000335
181,15059.560000000001,-0.14320000000000022
182,15058.375,-0.13530000000000086
183,15057.220000000001,-0.12760000000000105
184,15056.05,-0.11979999999999791
185,15054.895,-0.11209999999999809
186,15053.74,-0.10439999999999827
187,15052.6,-0.09680000000000177
188,15051.46,-0.08919999999999817
189,15050.32,-0.08160000000000167
190,15049.18,-0.07399999999999807
191,15048.055,-0.06649999999999778
192,15046.93,-0.0589999999999975
193,15045.805,-0.051499999999997215
194,15044.68,-0.04399999999999693
195,15043.57,-0.036599999999999966
196,15042.460000000001,-0.029200000000003
197,15041.365000000002,-0.02190000000000225
198,15040.27,-0.0146000000000015
199,15039.16,-0.007199999999997431
200,15038.08,0
201,15036.985,0.0
202,15035.905,0.0
203,15034.825,0.0
204,15033.76,0.0
205,15032.68,0.0
206,15031.615,0.0
207,15030.55,0.0
208,15029.5,0.0
209,15028.45,0.0
210,15027.400000000001,0.0
211,15026.349999999999,0.0
212,15025.3,0.0
213,15024.265,0.0
214,15023.23,0.0
215,15022.21,0.0
216,15021.175,0.0
217,15020.154999999999,0.0
218,15019.135,0.0
219,15018.115,0.0
220,15017.11,0.0
221,15016.105,0.0
222,15015.1,0.0
223,15014.095000000001,0.0
224,15013.105,0.0
225,15012.115000000002,0.0
226,15011.125,0.0
227,15010.134999999998,0.0
228,15009.16,0.0
229,15008.17,0.0
230,15007.195,0.0
231,15006.235,0.0
232,15005.26,0.0
233,15004.3,0.0
234,15003.34,0.0
235,15002.380000000001,0.0
236,15001.435,0.0
237,15000.474999999999,0.0
238,14999.53,0.0
239,14998.585,0.0
240,14997.654999999999,0.0
241,14996.710000000001,0.0
242,14995.78,0.0
243,14994.849999999999,0.0
244,14993.919999999998,0.0
245,14993.005000000001,0.0
246,14992.075,0.0
247,14991.16,0.0
248,14990.259999999998,0.0
249,14989.345000000001,0.0
250,14988.43,0.0
251,14987.529999999999,0.0
252,14986.63,0.0
253,14985.73,0.0
254,14984.845000000001,0.0
255,14983.945,0.0
256,14983.060000000001,0.0
257,14982.175,0.0
258,14981.29,0.0
259,14980.42,0.0
260,14979.55,0.0
261,14978.665,0.0
262,14977.795,0.0
263,14976.939999999999,0.0
264,14976.07,0.0
265,14975.215,0.0
266,14974.36,0.0
267,14973.505000000001,0.0
268,14972.650000000001,0.0
269,14971.795000000002,0.0
270,14970.955,0.0
271,14970.115,0.0
272,14969.275,0.0
273,14968.435,0.0
274,14967.595,0.0
275,14966.77,0.0
276,14965.945,0.0
277,14965.119999999999,0.0
278,14964.295,0.0
279,14963.470000000001,0.0
280,14962.66,0.0
281,14961.835,0.0
282,14961.025,0.0
283,14960.215,0.0
284,14959.42,0.0
285,14958.61,0.0
286,14957.815,0.0
287,14957.005000000001,0.0
288,14956.21,0.0
289,14955.415,0.0
290,14954.635,0.0
291,14953.84,0.0
