case,origin,dest,demand,y,flow
   53, 1,  4,200.0000, 39.7346,200.0000
   53, 2,  4,150.0000, 48.7609,150.0000
   54, 1,  4,200.0000, 39.7346,200.0000
   54, 2,  4,150.0000, 48.7469,149.9143
   55, 1,  4,200.0000, 39.7346,200.0000
   55, 2,  4,150.0000, 48.7329,150.0000
   56, 1,  4,200.0000, 39.7346,200.0000
   56, 2,  4,150.0000, 48.7191,150.0000
   57, 1,  4,200.0000, 39.7346,200.0000
   57, 2,  4,150.0000, 48.7053,150.0000
   58, 1,  4,200.0000, 39.7346,200.0000
   58, 2,  4,150.0000, 48.6915,150.0000
   59, 1,  4,200.0000, 39.7346,200.0000
   59, 2,  4,150.0000, 48.6779,150.0000
   60, 1,  4,200.0000, 39.7346,200.0000
   60, 2,  4,150.0000, 48.6643,150.0000
   61, 1,  4,200.0000, 39.7346,200.0000
   61, 2,  4,150.0000, 48.6508,150.0000
   62, 1,  4,200.0000, 39.7346,200.0000
   62, 2,  4,150.0000, 48.6373,150.0000
   63, 1,  4,200.0000, 39.7346,200.0000
   63, 2,  4,150.0000, 48.6240,150.0000
   64, 1,  4,200.0000, 39.7346,200.0000
   64, 2,  4,150.0000, 48.6107,150.0000
   65, 1,  4,200.0000, 39.7346,200.0000
   65, 2,  4,150.0000, 48.5974,150.0000
   66, 1,  4,200.0000, 39.7346,200.0000
   66, 2,  4,150.0000, 48.5843,150.0000
   67, 1,  4,200.0000, 39.7346,200.0000
   67, 2,  4,150.0000, 48.5711,150.0000
   68, 1,  4,200.0000, 39.7346,200.0000
   68, 2,  4,150.0000, 48.5581,150.0000
   69, 1,  4,200.0000, 39.7346,200.0000
   69, 2,  4,150.0000, 48.5451,150.0000
   70, 1,  4,200.0000, 39.7346,200.0000
   70, 2,  4,150.0000, 48.5322,150.0000
   71, 1,  4,200.0000, 39.7346,200.0000
   71, 2,  4,150.0000, 48.5194,150.0000
   72, 1,  4,200.0000, 39.7346,200.0000
   72, 2,  4,150.0000, 48.5066,150.0000
   73, 1,  4,200.0000, 39.7346,200.0000
   73, 2,  4,150.0000, 48.4939,150.0000
   74, 1,  4,200.0000, 39.7346,200.0000
   74, 2,  4,150.0000, 48.4813,150.0000
   75, 1,  4,200.0000, 39.7346,200.0000
   75, 2,  4,150.0000, 48.4687,150.0000
   76, 1,  4,200.0000, 39.7346,200.0000
